PERIODO,CLAVE_INDUSTRIA,INDUSTRIA,VALOR_CONSTANTE,VALOR_CORRIENTE
1993-01-01,PIB,Producto interno bruto,3439763.489,397801.32125
1993-04-01,PIB,Producto interno bruto,3472286.2555,411269.73575
1993-07-01,PIB,Producto interno bruto,3465719.718,415552.48875
1993-10-01,PIB,Producto interno bruto,3519338.19175,427154.3425
1994-01-01,PIB,Producto interno bruto,3525020.1435,437556.559
1994-04-01,PIB,Producto interno bruto,3663770.65925,466092.20425
1994-07-01,PIB,Producto interno bruto,3622207.97225,469525.4455
1994-10-01,PIB,Producto interno bruto,3696765.56175,495352.151
1995-01-01,PIB,Producto interno bruto,3510985.5435,531555.11775
1995-04-01,PIB,Producto interno bruto,3321860.9675,589127.08925
1995-07-01,PIB,Producto interno bruto,3353059.5975,626038.25575
1995-10-01,PIB,Producto interno bruto,3464405.8875,693671.9035
1996-01-01,PIB,Producto interno bruto,3559412.524,753552.18275
1996-04-01,PIB,Producto interno bruto,3585205.3465,796386.8075
1996-07-01,PIB,Producto interno bruto,3603221.85525,827441.71475
1996-10-01,PIB,Producto interno bruto,3751289.2335,906781.126
1997-01-01,PIB,Producto interno bruto,3702397.8495,939016.284
1997-04-01,PIB,Producto interno bruto,3896083.90575,1014718.55625
1997-07-01,PIB,Producto interno bruto,3906063.00025,1050794.8245
1997-10-01,PIB,Producto interno bruto,4038358.54025,1140384.504
1998-01-01,PIB,Producto interno bruto,4084303.53575,1191017.78075
1998-04-01,PIB,Producto interno bruto,4134899.4065,1249268.26675
1998-07-01,PIB,Producto interno bruto,4138199.81875,1295344.75425
1998-10-01,PIB,Producto interno bruto,4146841.372,1357357.24475
1999-01-01,PIB,Producto interno bruto,4176243.3205,1415467.29675
1999-04-01,PIB,Producto interno bruto,4232279.506,1483578.5675
1999-07-01,PIB,Producto interno bruto,4262620.55275,1540532.08425
1999-10-01,PIB,Producto interno bruto,4287797.69575,1595417.16775
2000-01-01,PIB,Producto interno bruto,4412426.25125,1680140.8655
2000-04-01,PIB,Producto interno bruto,4465504.18475,1739598.74675
2000-07-01,PIB,Producto interno bruto,4505221.101,1791732.776
2000-10-01,PIB,Producto interno bruto,4428702.84675,1805131.55425
2001-01-01,PIB,Producto interno bruto,4441058.23825,1830071.5775
2001-04-01,PIB,Producto interno bruto,4468504.835,1864937.6095
2001-07-01,PIB,Producto interno bruto,4440264.96625,1875540.8875
2001-10-01,PIB,Producto interno bruto,4381722.4445,1866557.58475
2002-01-01,PIB,Producto interno bruto,4269784.37125,1827361.07675
2002-04-01,PIB,Producto interno bruto,4504199.5375,1985352.49675
2002-07-01,PIB,Producto interno bruto,4457000.85125,1992896.504
2002-10-01,PIB,Producto interno bruto,4458615.0025,2022147.89425
2003-01-01,PIB,Producto interno bruto,4402401.4695,2023408.001
2003-04-01,PIB,Producto interno bruto,4520665.9625,2063463.37075
2003-07-01,PIB,Producto interno bruto,4464786.8255,2052578.3435
2003-10-01,PIB,Producto interno bruto,4511463.64725,2120083.4335
2004-01-01,PIB,Producto interno bruto,4546253.866,2182698.03725
2004-04-01,PIB,Producto interno bruto,4692565.071,2320497.504
2004-07-01,PIB,Producto interno bruto,4615344.9985,2327981.253
2004-10-01,PIB,Producto interno bruto,4683343.59325,2417213.004
2005-01-01,PIB,Producto interno bruto,4567922.10975,2362520.1625
2005-04-01,PIB,Producto interno bruto,4804678.801,2515004.8225
2005-07-01,PIB,Producto interno bruto,4720817.67725,2515524.793
2005-10-01,PIB,Producto interno bruto,4835832.284,2606549.18325
2006-01-01,PIB,Producto interno bruto,4840642.689,2637655.286
2006-04-01,PIB,Producto interno bruto,5029028.23775,2806894.38825
2006-07-01,PIB,Producto interno bruto,4959002.23925,2811581.58425
2006-10-01,PIB,Producto interno bruto,5010130.769,2863984.51125
2007-01-01,PIB,Producto interno bruto,4936399.34125,2857703.01175
2007-04-01,PIB,Producto interno bruto,5127367.9795,3005465.75325
2007-07-01,PIB,Producto interno bruto,5066708.80075,3032357.0355
2007-10-01,PIB,Producto interno bruto,5120551.16625,3151227.3555
