Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,176576.721,182404.561,185650.54200000002,200318.26500000004,219091.899,218472.947,201960.39600000004,219912.90600000002,230510.398,242758.40900000004,251657.007,277675.25800000003,294497.175,307395.8410000001,314242.379,327926.30700000003,329358.36400000006,307125.68299999996,315233.12,314602.247,334294.52300000004
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",12508.123,13055.615,13491.374,14902.901,16115.058,16223.767,13852.029,14764.994,15381.265,15971.921,16273.911,18436.081,19702.277,20218.805,20090.84,20551.179,20714.608,18318.931,19304.118,19253.39,21612.215
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,164068.598,169348.946,172159.168,185415.36400000003,202976.84100000001,202249.18,188108.36700000003,205147.912,215129.133,226786.48800000004,235383.09600000002,259239.17700000003,274794.898,287177.0360000001,294151.539,307375.128,308643.75600000005,288806.752,295929.002,295348.85699999996,312682.308
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,6761.508999999999,6688.17,7137.339,7459.947,7799.6410000000005,8428.549,8083.994,8504.018,9023.803,9554.812,9475.702000000001,10207.219000000001,10636.974999999999,11049.605000000001,11773.626,12196.068,12409.537,12714.026000000002,13055.677,12947.314999999999,13084.535
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",6761.508999999999,6688.17,7137.339,7459.947,7799.6410000000005,8428.549,8083.994,8504.018,9023.803,9554.812,9475.702000000001,10207.219000000001,10636.974999999999,11049.605000000001,11773.626,12196.068,12409.537,12714.026000000002,13055.677,12947.314999999999,13084.535
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",2359.205,2283.482,2158.049,2203.462,2087.767,2408.309,1930.229,2467.069,2122.698,2298.739,2542.346,2419.497,2471.495,2498.213,2818.527,2857.152,2860.816,3024.153,3248.161,3125.004,3115.199
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",4369.056,4376.795,4948.723,5219.797,5677.078,5983.89,6128.035,5997.963,6868.025,7219.91,6893.131,7746.738,8123.626,8507.647,8908.975,9289.4,9503.949,9639.351,9755.625,9775.437,9929.873
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",33.248,27.893,30.567,36.688,34.796,36.35,25.73,38.986,33.08,36.163,40.225,40.984,41.854,43.745,46.124,49.516,44.772,50.522,51.891,46.874,39.463
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,62156.622,64701.402,65727.068,74784.626,87437.409,82777.02,77119.823,87799.65900000001,91866.741,98268.49300000002,104485.70200000002,123051.117,130858.773,136157.757,140060.498,145746.503,145072.883,135200.127,135618.398,131267.697,143957.619
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,1111.012,1087.289,942.378,1000.801,1170.899,1326.835,1781.271,1783.775,1842.538,1704.442,6648.776,5661.547,6112.092,6345.599,6390.066,6072.333,5769.976,5265.706,5588.816,6153.519,6848.33
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1111.012,1087.289,942.378,1000.801,1170.899,1326.835,1781.271,1783.775,1842.538,1704.442,6648.776,5661.547,6112.092,6345.599,6390.066,6072.333,5769.976,5265.706,5588.816,6153.519,6848.33
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",1058.925,1193.785,1291.406,1573.675,1724.264,1728.64,1713.552,1775.05,1860.33,1858.74,1923.245,2149.968,2182.468,2163.305,2422.76,2549.841,2711.839,2877.157,2397.347,2252.332,2374.218
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,20166.553,20987.107,19512.769,21943.746,24848.867,23190.441,24097.114,23213.657,23303.025,24815.67,22406.383,23131.209,24034.178,25241.039,25978.578,26221.795,22813.677,20068.431,16004.773,14404.164,18206.94
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,39820.132000000005,41433.221,43980.51499999999,50266.404,59693.379,56531.10400000001,49527.886,61027.17700000001,64860.84799999999,69889.64100000002,73507.29800000001,92108.393,98530.035,102407.81400000001,105269.094,110902.534,113777.391,106988.833,111627.46199999998,108457.682,116528.131
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,7342.514,8678.461,8551.508,9525.347,10163.262,9495.548,9731.729,9874.995,10199.473,10249.285,10673.398,10869.362,11960.409,13305.009,13592.765,13917.538,14854.216,15014.566,15083.854,16090.835,16204.856
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1456.653,1781.567,1754.329,2094.893,2254.321,2295.553,2356.657,2330.566,2606.32,2787.743,3049.709,3287.182,3661.365,3579.679,3582.027,3663.096,3685.678,3535.885,3575.174,3769.71,4063.179
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",759.093,700.342,772.9390000000001,686.684,628.774,544.389,475.392,565.304,449.44500000000005,452.70399999999995,506.672,561.8050000000001,621.193,674.484,665.956,690.488,703.236,677.911,807.623,869.493,813.672
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",2863.832,2860.64,2919.863,2820.2940000000003,3170.815,3402.62,4010.723,4035.864,4013.0750000000003,3828.2780000000002,3626.2160000000003,3635.576,3796.3700000000003,3912.479,3718.072,3875.5769999999998,3666.273,3180.606,3343.531,3008.974,2968.116
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,154.395,161.555,163.809,159.942,131.797,122.176,109.178,114.345,122.127,138.613,159.505,179.903,186.973,211.29,200.341,219.983,232.916,227.452,259.556,267.708,244.373
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,392.13599999999997,439.964,543.982,627.504,582.3,637.155,782.4399999999999,871.658,865.764,804.285,903.215,844.638,1284.5620000000001,1457.187,1342.9589999999998,1646.134,1611.935,1652.89,1646.62,1695.502,1536.774
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,555.8820000000001,605.083,670.3820000000001,697.846,1057.046,1354.6080000000002,1096.596,1455.788,1477.643,1703.9399999999998,2172.6349999999998,2797.915,2802.483,3345.969,4033.3469999999998,3435.925,3554.203,3096.212,3192.371,2917.273,2905.656
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,2129.072,2233.308,2625.652,2826.658,2659.614,3889.736,3974.145,4090.545,4697.928,5749.284,5665.504,6303.601,6916.23,6989.118,6906.831,7106.603,7146.448,7403.186,7473.077,7878.488,7282.765
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,1617.989,1624.659,1751.5639999999999,1849.252,1858.211,1929.994,1493.732,1993.58,1864.623,1983.297,1769.045,2306.29,2732.605,2697.437,2483.1169999999997,2818.8,2702.306,2734.152,3034.448,3152.402,2920.952
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",21829.565000000002,21635.985,23433.178999999996,28052.248,36116.864,31853.578,24643.57,34841.457,37591.987,41105.637,43806.598,60111.589,63229.747,64869.655,67412.093,72005.945,74144.822,68028.61,71773.416,67399.685,76219.664
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",601.581,593.49,666.687,785.646,907.511,841.326,662.769,686.343,724.873,791.46,849.486,783.449,869.751,860.418,804.213,929.093,908.793,913.582,921.572,950.845,885.175
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,117.42,118.167,126.621,140.09,162.864,164.421,190.955,166.732,247.59,295.115,325.315,427.083,468.347,505.089,527.373,593.352,566.565,523.781,516.22,456.767,482.949
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias<C1>,95150.46699999999,97959.37400000001,99294.76099999998,103170.79100000003,107739.791,111043.61099999999,102904.55000000002,108844.23500000002,114238.589,118963.18300000002,121421.69199999998,125980.841,133299.15,139969.67400000003,142317.415,149432.557,151161.33600000004,140892.599,147254.92699999997,151133.845,155640.154
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|43---Comercio al por mayor<C1>,13971.233,14454.896,15005.701,15650.279,16590.992,16423.734,13939.814,15720.621,17379.786,18186.432,19119.645,20962.757,23990.501,26709.762,27211.53,29822.924,29547.136,27429.022,29322.691,31109.458,32672.161
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|46---Comercio al por menor<C1>,16399.738,17254.153,17764.945,18713.038,19361.468,19609.982,16205.332,18030.813,19359.423,19388.433,20121.056,20927.772,20831.337,21551.347,21803.089,22568.197,21980.608,20183.957,20912.443,22376.262,23260.446
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",7795.377,8272.187,8724.947,9659.215,10969.767,11746.106,9874.011,10502.158,11074.32,11571.092,11969.63,12535.271,13005.321,13486.9,13811.011,14192.216,15892.033,13500.72,14886.736,16221.92,16540.418
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|51---Información en medios masivos<C1>,359.945,401.285,451.481,505.44,580.608,620.988,675.578,713.526,755.221,905.096,946.387,1010.963,1261.843,1582.656,1620.925,1850.105,1975.618,1769.533,1767.592,2005.378,2201.607
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|52---Servicios financieros y de seguros<C1>,2446.264,2196.56,1969.584,2405.308,2903.165,2758.946,2851.566,3399.796,3445.029,3756.141,4338.863,4668.803,4753.741,5781.063,6588.801,7380.816,7691.618,7261.918,8103.458,7800.892,8112.52
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,12484.335,13091.782,13605.733,14222.947,14770.946,15344.613,15589.893,16117.695,16607.427,17174.515,17575.773,18034.122,18563.352,18804.489,18874.217,19084.332,19914.751,20552.442,21435.667,22126.75,22755.575
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",3092.56,3082.43,3125.34,3281.606,3646.025,3918.982,3699.718,3811.124,3735.907,3905.72,4130.424,4176.989,4330.351,4514.721,4297.175,4359.738,4646.032,5198.477,5097.871,5445.16,5553.376
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
