Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,682996.928,697268.689,716802.1710000001,772686.808,778767.048,756707.3190000001,658790.7119999999,686065.8650000001,698850.507,726418.1060000001,733753.711,760856.967,795080.747,828692.2470000001,863600.6490000001,878816.8679999999,893946.249,839693.3399999999,896313.559,919300.278,951029.4279999998
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",46582.088,47349.359,50269.199,55699.092,55073.554,54379.077,44064.195,44613.448,44525.83,46274.006,46258.572,47686.183,49727.817,51905.578,53365.996,54748.833,56654.666,49970.673,55498.13,59207.613,62852.864
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,636414.84,649919.3300000001,666532.9720000001,716987.716,723693.494,702328.2420000001,614726.517,641452.4170000001,654324.677,680144.1000000001,687495.139,713170.784,745352.9299999999,776786.6690000001,810234.653,824068.0349999999,837291.583,789722.6669999999,840815.429,860092.665,888176.5639999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,15451.977,17897.244,18277.022,17538.554,16570.119000000002,16201.753000000002,18709.536,18920.28,18312.404,18560.593,20099.693,19265.785,20482.274999999998,19277.96,21009.541,21408.907,21874.792999999998,19920.239999999998,20766.047000000002,23073.243000000002,23547.665000000005
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",15451.977,17897.244,18277.022,17538.554,16570.119000000002,16201.753000000002,18709.536,18920.28,18312.404,18560.593,20099.693,19265.785,20482.274999999998,19277.96,21009.541,21408.907,21874.792999999998,19920.239999999998,20766.047000000002,23073.243000000002,23547.665000000005
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",10709.098,13282.475,13568.364,12563.666,11459.507,11249.034,14133.146,13625.314,12664.103,13207.847,14799.794,13793.459,15040.065,14124.594,15693.776,15989.574,16259.027,13811.829,14555.536,16820.431,17189.611
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",4107.561,3996.847,4177.387,4326.08,4651.635,4222.435,4051.833,4525.981,4641.034,4539.171,4295.039,4395.967,4420.48,4257.96,4369.161,4595.984,4838.855,5230.539,5340.624,5384.988,5481.469
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",444.921,361.313,368.719,374.754,322.631,385.253,351.941,479.187,458.86,425.201,547.177,575.829,471.122,449.664,476.596,458.511,425.907,471.443,486.827,451.898,475.221
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",190.397,256.609,162.552,274.054,136.346,345.031,172.616,289.798,548.407,388.374,457.683,500.53,550.608,445.742,470.008,364.838,351.004,406.429,383.06,415.926,401.364
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,311294.749,311827.668,315801.615,355225.029,356159.505,338029.73900000006,272822.76800000004,283111.767,281662.195,295701.77400000003,295161.91000000003,316670.96400000004,340383.397,352444.445,369933.22900000005,370144.929,386022.906,369467.223,391197.54999999993,394512.221,413058.904
