Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,102696.425,110723.35699999999,117708.46199999998,126685.37000000001,137545.25499999998,142084.05399999997,134464.676,138668.832,144956.375,147269.702,145215.69,147613.684,156072.03399999999,163094.648,170784.40300000002,184618.10300000003,177860.75,151931.29,171064.57499999998,178129.82400000002,181120.095
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",5526.1,5990.708,6748.328,7416.831,8100.492,8232.702,7667.966,7260.644,7206.091,7363.814,7022.986,7160.852,7844.817,8270.604,8692.025,9219.763,9009.212,6582.782,9050.537,9895.788,10197.414
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,97170.325,104732.64899999999,110960.13399999999,119268.539,129444.76299999998,133851.35199999998,126796.71,131408.188,137750.284,139905.88799999998,138192.704,140452.832,148227.21699999998,154824.044,162092.37800000003,175398.34000000003,168851.538,145348.508,162014.03799999997,168234.03600000002,170922.681
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,4126.691,3825.1180000000004,4459.798000000001,4030.299,4275.192,3995.717,3862.2619999999997,4598.812,4557.858,4861.526000000001,4941.16,5575.65,5874.223,6201.171999999999,6049.484,6351.325,6347.865,6825.902,7604.291,7422.812,7316.12
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",4126.691,3825.1180000000004,4459.798000000001,4030.299,4275.192,3995.717,3862.2619999999997,4598.812,4557.858,4861.526000000001,4941.16,5575.65,5874.223,6201.171999999999,6049.484,6351.325,6347.865,6825.902,7604.291,7422.812,7316.12
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",2815.762,2586.204,2993.868,2563.529,2896.407,2466.451,2468.989,2924.304,3052.271,3351.023,3649.511,3891.599,4159.296,4259.963,4418.067,4594.255,4873.661,5274.611,6077.517,5901.153,5795.95
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",531.274,536.237,557.533,617.016,624.507,609.313,627.123,617.54,685.83,721.641,636.168,691.048,726.462,688.23,608.782,549.459,534.187,562.013,556.267,561.953,562.024
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",764.675,690.88,896.127,839.392,742.69,886.535,702.579,1048.33,809.821,778.994,642.053,952.375,979.924,953.423,1008.438,985.875,719.222,730.124,714.483,676.34,682.214
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",14.98,11.797,12.27,10.362,11.588,33.418,63.571,8.638,9.936,9.868,13.428,40.628,8.541,299.556,14.197,221.736,220.795,259.154,256.024,283.366,275.932
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,22523.694,25581.923,25118.942,27401.466000000004,30436.069,36117.758,34757.945999999996,32056.806999999997,33690.076,30919.198999999997,29932.538999999997,29065.601,33184.562,33789.643000000004,36212.673,44385.161,36401.663,29796.686,28195.872999999996,28638.632,28732.216000000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,2286.052,2870.645,3010.529,3143.954,3235.134,3260.182,3332.88,2706.172,2967.3,3360.913,3876.451,3868.596,5015.543,6001.747,5952.089,5811.852,5375.707,5289.987,5264.861,5448.216,5241.492
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2286.052,2870.645,3010.529,3143.954,3235.134,3260.182,3332.88,2706.172,2967.3,3360.913,3876.451,3868.596,5015.543,6001.747,5952.089,5811.852,5375.707,5289.987,5264.861,5448.216,5241.492
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",2363.744,3106.361,3167.609,4141.201,4173.283,4924.729,5048.512,5450.299,6658.486,5983.278,6778.869,7120.376,7311.06,7512.382,8068.918,8571.484,8635.042,9089.788,7034.99,6973.737,6689.96
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,14560.903,16359.994,15579.317,16529.164,19131.69,24220.355,23022.32,20763.053,20922.859,18389.42,15694.314,14236.934,17156.022,16467.668,18384.203,26260.967,18574.94,11597.324,12057.94,12309.806,12813.397
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,3312.995,3244.9230000000002,3361.4870000000005,3587.1469999999995,3895.9620000000004,3712.4919999999997,3354.2339999999995,3137.2829999999994,3141.431,3185.588,3582.905,3839.6949999999997,3701.937000000001,3807.8460000000005,3807.463,3740.858,3815.9739999999997,3819.5869999999995,3838.082,3906.8729999999996,3987.3670000000006
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,1808.389,1695.329,1760.741,1790.095,1877.963,1880.136,1820.706,1799.779,1750.954,1661.662,1682.429,1796.817,1575.303,1465.26,1439.247,1554.973,1537.582,1635.961,1635.877,1693.857,1768.626
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,445.627,436.928,412.128,389.119,375.98,358.882,347.581,337.343,381.314,450.903,616.784,818.091,971.799,1102.967,1136.259,1144.847,1202.529,1170.686,1186.327,1213.517,1192.285
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",7.343,7.96,7.022,7.761,9.077,8.346,8.115,8.173,7.718,7.617,7.993,8.058,8.828,9.456,8.01,8.742,9.288,9.181,9.187,8.827,9.764
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",18.866,19.188,18.865,21.698999999999998,24.724,25.932000000000002,24.552,24.198,24.256,24.083000000000002,25.262999999999998,20.392,19.205,20.148,21.681,21.355,21.146,16.987,17.937,20.268,21.032
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,28.104,31.554,31.606,43.482,77.996,150.89,104.453,79.648,83.351,97.281,101.826,104.943,109.369,114.54,115.495,120.447,102.004,63.729,62.733,60.499,54.565
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,49.173,48.69,50.303000000000004,58.94,61.376000000000005,64.28999999999999,60.286,61.535000000000004,54.263,50.017,44.494,44.465,43.429,44.388999999999996,44.675,50.156,49.611,48.746,50.184,40.032,41.157
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,53.452999999999996,49.769000000000005,49.95,60.675999999999995,63.690999999999995,64.71900000000001,53.492,55.656000000000006,72.699,78.10499999999999,75.13499999999999,69.618,91.722,102.074,115.079,123.36200000000001,114.343,114.044,108.257,106.87,136.161
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,579.387,648.408,721.368,855.995,1028.024,782.652,617.751,462.924,432.645,504.365,733.419,652.591,457.923,542.154,489.673,287.565,277.387,256.573,266.347,301.014,290.391
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,194.641,186.968,189.338,219.884,252.089,249.923,209.077,199.877,190.692,159.868,131.53,155.452,184.616,156.265,150.765,141.637,196.015,244.168,240.754,207.176,203.58
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",3.909,4.422,5.905,6.852,6.45,7.186,4.562,5.223000000000001,5.567,5.525,7.539999999999999,7.928,8.905,12.329,9.809999999999999,17.41,23.84,18.437,17.797,18.803,21.745
