Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,986877.724,998062.315,985831.2949999999,959641.0630000001,897799.8550000001,828677.1680000001,753908.784,730232.3240000001,711663.1910000001,691262.004,692549.897,685992.0249999999,700310.7410000002,663239.2419999999,595666.96,564591.056,541962.926,500514.72599999997,489604.295,472680.024,514860.222
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",6627.781,6793.411,7381.489,7620.932,7316.559,7717.395,7109.166,6684.218,6573.125,6319.882,6205.458,6382.911,12637.221,11571.901,10165.708,9183.129,9394.389,5108.748,9041.695,8787.288,10147.895
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,980249.9430000001,991268.904,978449.806,952020.131,890483.2960000001,820959.773,746799.618,723548.1060000001,705090.0660000001,684942.122,686344.439,679609.114,687673.5200000001,651667.3409999999,585501.252,555407.927,532568.537,495405.97799999994,480562.6,463892.736,504712.327
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,3334.985,4124.897000000001,4238.9169999999995,4728.508,3522.3680000000004,4092.09,4255.562,4964.887000000001,4552.409000000001,4618.517,4797.827,5384.054,5767.381,6276.866,6263.55,6495.614999999999,6235.737,6444.039,6832.8769999999995,5981.548,6127.56
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",3334.985,4124.897000000001,4238.9169999999995,4728.508,3522.3680000000004,4092.09,4255.562,4964.887000000001,4552.409000000001,4618.517,4797.827,5384.054,5767.381,6276.866,6263.55,6495.614999999999,6235.737,6444.039,6832.8769999999995,5981.548,6127.56
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",1365.689,2016.742,1984.994,2589.295,1634.354,1874.91,2254.277,2863.379,2389.213,2522.029,2764.487,3361.08,3324.884,3980.593,4120.545,4155.544,4096.36,4321.339,4503.977,3690.154,3987.226
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",1280.933,1347.438,1285.138,1316.721,1376.428,1422.163,1398.118,1439.873,1404.418,1432.481,1462.715,1409.121,1502.683,1378.061,1382.068,1500.016,1471.607,1468.812,1535.52,1557.43,1504.432
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",478.196,392.545,387.266,350.786,314.521,332.872,384.988,469.472,505.545,533.601,441.15,478.273,616.268,631.277,543.958,665.682,492.265,466.732,599.487,557.149,451.898
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",210.167,368.172,581.519,471.706,197.065,462.145,218.179,192.163,253.233,130.406,129.475,135.58,323.546,286.935,216.979,174.373,175.505,187.156,193.893,176.815,184.004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,901517.0780000001,907722.738,892658.0449999999,863238.679,802200.7370000001,728484.768,658014.561,630598.0590000001,609132.0560000001,586352.5719999999,584412.139,576412.61,582274.0150000001,551016.3679999999,486447.56399999995,456689.619,433352.189,401949.81999999995,382133.115,366277.948,403694.018
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,862529.479,864124.162,838681.453,800409.809,745871.4480000001,683379.672,611787.413,581957.4210000001,564790.292,541472.868,541344.167,534809.646,535029.6020000001,506378.52,451178.70399999997,424954.549,403372.021,381161.692,361089.045,336253.098,306410.898
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,861838.712,863428.056,837937.252,799663.227,745185.903,682852.234,611279.016,581443.8,564306.088,540981.127,540875.411,534342.355,534514.087,505880.478,450761.012,424556.978,402996.61,380754.278,360630.613,335836.505,305941.078
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,690.767,696.106,744.201,746.582,685.545,527.438,508.397,513.621,484.204,491.741,468.756,467.291,515.515,498.042,417.692,397.571,375.411,407.414,458.432,416.593,469.82
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",1470.819,1812.965,1817.064,1802.168,1746.8,1944.883,1984.831,1850.691,1860.849,1806.122,1902.091,1860.734,1758.623,1994.642,1945.031,1969.157,1860.844,1454.625,1110.674,1196.175,1455.938
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,33436.984,38046.42,48489.431,57283.641,50560.448,38805.393,39622.865,42320.16,37766.839,38403.191,36417.227,34918.276,41024.458,38456.984,29251.109,25642.876,23731.211,15196.16,15511.919,23918.464,90940.627
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,4079.796,3739.1910000000003,3670.097,3743.0609999999997,4022.0409999999993,4354.819999999999,4619.452000000001,4469.786999999999,4714.076000000002,4670.391,4748.6539999999995,4823.9540000000015,4461.331999999999,4186.222,4072.72,4123.037,4388.113000000001,4137.343000000001,4421.476999999999,4910.210999999999,4886.554999999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,1425.406,1287.183,1224.316,1248.81,1347.249,1418.688,1483.002,1537.578,1580.983,1507.271,1551.694,1645.345,1668.223,1677.029,1736.669,1650.061,1774.167,1668.036,1757.583,1721.883,1580.257
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,653.163,664.859,678.713,624.211,631.63,653.062,641.552,540.988,575.134,458.677,424.381,395.712,439.511,474.955,454.006,412.972,423.949,449.22,445.577,447.729,473.582
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",20.857,30.21,24.836,36.69,35.233000000000004,30.776,16.842,17.785,17.931,22.285,18.741,19.924,19.287,16.829,15.164,16.755,19.819,15.581,16.901,17.423,17.54
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",745.714,702.169,682.1999999999999,747.086,845.9929999999999,904.625,1047.6979999999999,1112.879,1146.896,1352.065,1560.786,1677.916,1570.974,1349.519,1331.7579999999998,1384.3539999999998,1442.375,1348.545,1272.682,1204.619,1251.118
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,92.525,88.528,91.649,83.093,81.563,75.504,83.979,87.22,108.826,123.31,129.092,93.218,127.586,163.25,145.172,160.724,177.513,157.175,217.99,358.761,351.401
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,22.632,23.137,24.186,27.887,26.746,29.787,27.731,28.612,27.049,26.674,26.149,28.143,27.356,28.49,26.895,22.902,25.285,26.318,25.192,12.257,11.352
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,887.1179999999999,709.3700000000001,660.439,657.3209999999999,703.289,862.983,945.189,803.229,918.748,900.386,741.1990000000001,606.264,297.053,236.41000000000003,184.571,243.78,305.109,248.82,440.153,880.487,907.487
