Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,2842788.554,2962342.2139999997,2991075.2439999995,3134225.2170000006,3142463.801,3183429.429,3008811.7660000003,3125716.6909999996,3231440.239,3332208.721,3363394.325,3412110.1980000003,3503520.1130000004,3571368.187999999,3646318.1789999995,3694574.8740000003,3679917.3460000004,3293855.3080000007,3496055.8109999993,3650377.619,3806101.5190000003
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",187647.974,195962.04,201941.301,210094.844,205403.358,213092.81,195562.338,188857.545,189868.058,189798.117,189832.939,189637.641,198008.665,201693.215,207461.033,211894.653,211141.196,181602.12,198217.221,216382.66,224854.703
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,2655140.58,2766380.1739999996,2789133.9429999995,2924130.3730000006,2937060.443,2970336.619,2813249.4280000003,2936859.1459999997,3041572.181,3142410.604,3173561.386,3222472.5570000005,3305511.4480000003,3369674.9729999993,3438857.1459999997,3482680.2210000004,3468776.1500000004,3112253.1880000005,3297838.5899999994,3433994.959,3581246.816
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,1689.049,1646.5279999999998,1756.055,1600.02,1521.406,1445.547,1531.048,1524.757,1563.1919999999998,1571.8729999999998,1402.003,1394.786,1412.3029999999999,1404.8509999999999,1301.57,1367.925,1404.854,1382.562,1379.428,1343.5910000000001,1263.6270000000002
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",1689.049,1646.5279999999998,1756.055,1600.02,1521.406,1445.547,1531.048,1524.757,1563.1919999999998,1571.8729999999998,1402.003,1394.786,1412.3029999999999,1404.8509999999999,1301.57,1367.925,1404.854,1382.562,1379.428,1343.5910000000001,1263.6270000000002
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",1340.66,1305.954,1360.21,1406.901,1375.827,1283.588,1366.925,1363.045,1406.273,1424.484,1244.268,1234.345,1252.206,1244.647,1137.555,1210.168,1252.675,1232.781,1231.218,1200.489,1121.707
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",206.943,201.936,167.692,165.847,130.471,157.789,157.953,158.579,154.695,144.774,155.683,158.951,157.929,157.48,161.753,155.136,149.884,147.248,145.75,140.67,139.602
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",141.446,138.638,228.153,27.272,15.108,4.17,6.17,3.133,2.224,2.615,2.052,1.49,2.168,2.724,2.262,2.621,2.295,2.533,2.46,2.432,2.318
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,406599.23899999994,429096.917,443866.943,484766.838,449814.2920000001,431690.772,398584.32699999993,370236.968,379644.2299999999,397241.6379999999,370737.939,362997.27100000007,338779.73199999996,347400.419,337394.584,329643.533,322740.414,283079.93,313042.04,352988.15599999996,350248.228
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,219.279,209.31,201.709,230.049,219.036,200.21,193.254,160.978,185.184,221.143,193.751,199.549,187.809,208.498,197.534,179.902,172.448,166.158,192.414,239.529,237.803
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,219.279,209.31,201.709,230.049,219.036,200.21,193.254,160.978,185.184,221.143,193.751,199.549,187.809,208.498,197.534,179.902,172.448,166.158,192.414,239.529,237.803
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",8712.224,10174.27,11010.048,12311.17,12635.738,12283.375,13958.08,15529.962,16139.159,17615.735,17048.633,17769.379,18262.972,17845.258,18521.335,18046.025,16985.415,15478.468,13118.299,13099.287,12758.583
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,110735.143,118429.068,123908.525,155909.392,141905.79,145464.997,133420.476,112245.78,131691.591,156008.457,141693.586,139677.175,118940.335,130070.302,124780.494,114698.325,112962.142,89520.241,105993.449,138717.832,139176.555
