Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,559444.758,577532.784,592161.2220000001,635597.8240000001,664331.063,696713.272,626309.624,647629.946,662042.787,711480.757,732550.603,753194.78,803883.276,830488.5090000001,851284.313,853322.8040000001,866861.2990000001,808710.891,846063.9380000001,911271.1420000001,941368.2429999998
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",33634.122,35265.97,35970.76,38487.106,38954.242,42668.159,35775.041,35553.514,35193.918,38628.976,38565.755,39720.74,42996.914,43665.05,44405.914,43801.457,43748.895,39514.026,43133.706,48114.765,50750.852
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,525810.636,542266.814,556190.462,597110.7180000001,625376.821,654045.113,590534.583,612076.432,626848.8690000001,672851.781,693984.848,713474.04,760886.362,786823.459,806878.399,809521.3470000001,823112.4040000001,769196.865,802930.2320000001,863156.3770000001,890617.3909999998
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,31665.975,33102.600000000006,34995.748999999996,38473.994999999995,39643.820999999996,38245.513999999996,40051.333,42970.242,44639.657999999996,40383.909,47013.50200000001,49036.028,52035.297,49578.111,55014.863,56419.942,54637.59299999999,52743.528000000006,53036.138000000006,58147.479999999996,58714.697
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",31665.975,33102.600000000006,34995.748999999996,38473.994999999995,39643.820999999996,38245.513999999996,40051.333,42970.242,44639.657999999996,40383.909,47013.50200000001,49036.028,52035.297,49578.111,55014.863,56419.942,54637.59299999999,52743.528000000006,53036.138000000006,58147.479999999996,58714.697
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",19924.246,21199.469,21646.358,24989.34,25348.265,23675.272,25982.994,27366.943,29919.428,25784.695,33957.078,35905.981,38367.102,36464.455,39114.42,40155.687,38272.108,36222.567,36219.771,40985.996,41057.365
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",8403.552,8792.903,8443.587,8261.101,8265.263,9442.597,9897.588,9902.655,10109.543,10051.458,8809.459,8751.78,9061.199,8736.577,8976.325,9397.287,9558.675,9864.582,10101.7,10260.964,10585.949
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",3338.177,3110.228,4905.804,5223.554,6030.293,5127.645,4170.751,5700.644,4610.687,4547.756,4246.965,4378.267,4606.996,4377.079,6924.118,6866.968,6806.81,6656.379,6714.667,6900.52,7071.383
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,219683.61700000003,227015.749,229288.524,248671.04499999998,267242,288991.391,252046.11800000002,249756.34600000002,250260.497,287057.105,294812.55399999995,307603.706,338714.47400000005,351305.42500000005,359907.08999999997,351093.17900000006,363947.154,337938.432,356011.83200000005,391928.34200000006,407876.41199999995
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,12012.469,10387.372,13813.02,16536.301,16272.297,16439.203,15793.727,13389.495,12264.051,12852.995,13925.891,14222.542,10950.78,12504.972,11445.395,14321.679,14369.143,13978.685,14309.86,14161.91,16377.347
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,12012.469,10387.372,13813.02,16536.301,16272.297,16439.203,15793.727,13389.495,12264.051,12852.995,13925.891,14222.542,10950.78,12504.972,11445.395,14321.679,14369.143,13978.685,14309.86,14161.91,16377.347
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",10132.08,12090.413,12807.727,15456.287,17303.081,17526.795,17326.274,16845.157,18050.909,18366.03,18758.062,19987.171,19778.187,19889.997,19798.577,20999.539,21734.008,19102.117,14033.445,14716.739,14840.488
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,58654.803,64338.407,59043.115,58579.296,67875.185,65313.193,59396.852,51062.42,45619.252,48968.312,53534.453,56408.782,61789.305,53107.012,55065.891,44467.976,53931.954,42097.988,38933.953,44362.427,58537.487
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,138884.265,140199.557,143624.662,158099.16099999996,165791.437,189712.2,159529.265,168459.274,174326.285,206869.768,208594.14799999996,216985.21099999998,246196.20200000002,265803.444,273597.22699999996,271303.98500000004,273912.049,262759.642,288734.574,318687.26600000006,318121.08999999997
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,16965.84,16914.041,17482.098,18814.261,19093.902,20139.535,18708.373,19757.426,21928.695,23399.59,23200.727,22556.69,23734.975,24815.82,25784.603,26600.374,25960.769,26507.707,27160.272,28407.247,29085.065
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,3413.553,4262.746,4284.409,4120.51,4204.988,3880.722,3808.25,3901.04,3783.687,5138.545,5278.053,5336.564,5051.354,3913.057,4147.681,4167.479,4388.586,4212.589,4362.722,4558.267,4386.953
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",523.966,593.954,729.347,721.851,664.7819999999999,687.229,768.108,739.616,685.642,783.193,800.384,853.164,926.484,929.215,968.432,1026.112,968.036,933.302,978.664,924.748,946.338
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",2682.215,2750.7479999999996,2661.199,2688.3419999999996,2757.826,2804.766,2867.4170000000004,3073.576,3077.703,3581.101,3530.126,3715.112,4056.118,4079.209,3859.1710000000003,3445.075,2434.532,1805.559,2184.169,2870.23,2364.322
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,2047.953,2853.917,3839.793,4047.117,4298.359,3849.637,3590.341,3739.553,4626.462,5830.024,6713.997,6676.858,6950.65,6496.387,6376.6,6111.039,5619.305,5473.687,6109.62,4916.021,3909.636
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,2854.102,3051.603,3330.441,3498.664,3529.4429999999998,3395.5969999999998,3295.042,3489.52,3217.559,3276.643,3173.49,3551.725,3569.133,3744.8019999999997,4106.741,4293.2210000000005,4046.991,3597.759,4211.019,4264.865,3923.564
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,4036.768,4291.530000000001,4558.434,5115.43,6040.722,6256.474,6400.152,7214.509,5649.911,6231.969999999999,6709.245,7348.117,7956.54,8335.321,8705.33,9669.788,10153.806,10043.758,10724.514,10942.2,10976.116
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,5729.787,6173.914,7976.947,8428.715,8670.415,8299.868,7413.277,7762.054,7933.583,8264.243,9099.487,8817.366,9058.547,9266.732,9411.962,9100.095,9139.186,8674.573,9575.34,10925.21,11277.605
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,6736.609,7144.2880000000005,8189.317,7761.107999999999,6725.592000000001,6132.772,5108.102,5401.816,5832.686,6579.272,6241.302000000001,7313.3060000000005,8129.146,8805.257,9597.774000000001,10000.006,9516.644,9113.697,10198.035,13107.039,12762.166
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",84430.60500000001,82093.82400000001,80430.401,91600.09099999999,98828.08300000001,121321.632,94539.055,101477.479,105147.748,127704.21800000001,128475.39299999998,134641.87,158752.193,175008.52500000002,179051.082,174239.608,178786.807,169898.965,188246.535,209378.518,209862.97
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",2024.188,2262.552,2146.584,2070.454,1943.368,2126.643,2231.825,2439.27,2598.71,3225.727,2874.112,2816.832,3288.549,3473.864,3431.789,3544.231,3524.342,3254.821,3640.331,3469.264,2916.277
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,7438.679,7806.44,7995.692,9232.618,9033.957,10817.325,10799.323,9463.415,9843.899,12855.242,12497.832,13357.607,14722.513,16935.255,18156.062,19106.957,19373.045,19243.225,21343.353,24923.657,25710.078
