Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,314665.411,304083.36399999994,310293.582,321113.546,324676.53200000006,337160.57800000004,332432.799,355978.857,361270.25500000006,370237.30499999993,360620.9770000001,374691.48699999996,364001.282,369919.287,359734.408,353600.11299999995,348914.39199999993,337240.435,353638.51,374518.0029999999,379736.483
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",14573.044,13899.48,13987.124,13536.371,14132.259,14000.19,13776.547,12685.766,11977.368,12033.35,12124.961,12072.49,13481.958,13977.686,13583.348,13380.994,13642.413,11972.33,13019.205,13747.969,14803.574
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,300092.367,290183.88399999996,296306.458,307577.175,310544.27300000004,323160.38800000004,318656.252,343293.091,349292.88700000005,358203.95499999996,348496.01600000006,362618.997,350519.324,355941.601,346151.06,340219.11899999995,335271.97899999993,325268.105,340619.305,360770.0339999999,364932.909
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,24421.907,22016.961000000003,21022.136000000002,21865.555999999997,22643.923,22584.634,22710.904000000002,23813.517999999996,23643.61,23820.112000000005,24499.323,22719.196,22966.983,23352.037,22734.159999999996,23181.939,23614.397,23975.283,24623.253,24708.878000000004,24644.282
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",24421.907,22016.961000000003,21022.136000000002,21865.555999999997,22643.923,22584.634,22710.904000000002,23813.517999999996,23643.61,23820.112000000005,24499.323,22719.196,22966.983,23352.037,22734.159999999996,23181.939,23614.397,23975.283,24623.253,24708.878000000004,24644.282
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",16788.151,14612.449,13667.315,14199.622,14395.785,14230.571,13965.914,14431.552,14236.189,14154.299,14535.69,13163.53,13196.898,13430.097,13622.13,13865.023,14087.235,14237.232,14684.079,14672.87,14234.854
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",6985.674,6840.947,6839.786,7199.425,7538.619,7575.179,7909.787,8408.326,8593.589,8841.41,8769.469,8441.452,8651.951,8502.566,8259.502,8419.579,8704.661,8964.3,9037.577,9151.373,9445.212
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",296.211,208.878,205.074,144.909,184.656,197.319,345.004,307.974,254.061,261.541,355.345,452.971,334.205,330.501,328.281,309.106,241.055,149.791,268.829,225.455,288.033
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",351.871,354.687,309.961,321.6,524.863,581.565,490.199,665.666,559.771,562.862,838.819,661.243,783.929,1088.873,524.247,588.231,581.446,623.96,632.768,659.18,676.183
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,90579.78,76961.015,77969.98199999999,85496.888,79120.961,89276.122,88054.158,100820.29500000001,99172.73300000001,100760.74,87150.33000000002,92227.713,82691.91,83660.367,75532.04400000001,68547.81999999999,59605.779,60202.642,64058.208,75086.478,73365.875
