Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,725622.352,738323.009,751258.2829999998,798549.1010000001,819995.32,806977.054,647795.108,775118.743,824838.4670000001,870634.531,864429.3829999999,902863.2409999999,897702.095,901719.484,941581.763,966054.662,953384.334,843597.5709999999,921586.983,935841.223,929917.3449999999
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",48948.934,50423.703,49884.264,53087.84,52470.41,53048.083,37244.564,43906.689,47854.654,50330.2,51083.037,52681.54,52431.723,54314.995,56525.247,58308.564,57880.376,50773.052,57363.134,58954.597,62457.991
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,676673.418,687899.306,701374.0189999999,745461.2610000002,767524.9099999999,753928.971,610550.544,731212.054,776983.8130000001,820304.331,813346.3459999999,850181.7009999999,845270.372,847404.4890000001,885056.5160000001,907746.098,895503.958,792824.5189999999,864223.849,876886.626,867459.3539999998
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,15048.462000000001,15628.884999999998,17451.523,16317.073,16879.549000000003,16562.888,18017.221,18406.247,18793.706000000002,17713.227,17426.372,18748.817,17863.108,16688.639,16818.627,17696.895,18285.791999999998,19015.259,18894.363999999998,19095.323999999997,18759.56
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",15048.462000000001,15628.884999999998,17451.523,16317.073,16879.549000000003,16562.888,18017.221,18406.247,18793.706000000002,17713.227,17426.372,18748.817,17863.108,16688.639,16818.627,17696.895,18285.791999999998,19015.259,18894.363999999998,19095.323999999997,18759.56
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",4490.088,5232.043,5400.7,5214.123,5704.066,4846.282,5843.836,6036.028,6807.73,5694.668,5093.971,5865.773,5549.141,5499.7,6007.548,6251.057,6569.841,6216.277,6027.559,6181.938,5519.132
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",10092.281,9756.89,10041.696,10629.423,10734.351,11288.775,11363.881,11062.655,11239.03,11329.17,11339.221,11736.151,11215.276,10369.679,10009.379,10103.425,10368.223,11205.266,11286.362,11337.893,11683.819
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",466.093,639.952,2009.127,473.527,441.132,427.831,809.504,1307.564,746.946,689.389,993.18,1146.893,1098.691,819.26,801.7,1342.413,1347.728,1593.716,1580.443,1575.493,1556.609
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,412189.211,413041.778,416641.75099999993,447679.1780000001,460763.647,443968.82300000003,320100.154,421465.397,453128.613,485350.221,474641.06299999997,503018.02099999995,491406.743,488197.56,516583.73600000003,527845.345,512569.04000000004,439376.15299999993,501698.284,512786.87399999995,489549.4169999999
