Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,106240.46100000001,107179.093,107631.263,114843.83300000001,122046.013,124498.00600000001,118472.23499999999,125595.851,133676.159,135599.865,133729.29600000003,135090.725,141029.12900000002,140705.23799999998,150360.096,153808.394,161109.858,148143.273,147667.296,148438.434,154588.87999999995
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",4337.892,4427.53,4424.897,4856.63,4852.466,5128.244,4726.313,4600.165,4548.662,4204.777,3773.651,3539.189,3808.427,3877.868,3985.626,3993.67,3973.189,3821.184,4799.021,5485.894,5210.898
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,101902.56900000002,102751.563,103206.36600000001,109987.20300000001,117193.547,119369.762,113745.92199999999,120995.686,129127.49700000002,131395.088,129955.64500000002,131551.536,137220.70200000002,136827.37,146374.47,149814.724,157136.669,144322.08899999998,142868.275,142952.54,149377.98199999996
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,7050.439,7328.194,6929.927999999999,7530.338,7665.183,8065.371999999999,6359.863,6663.656,7244.732,6316.76,6295.508,5915.1539999999995,5959.494,6616.223,6886.232999999999,7344.258,7407.79,7629.655,7685.166,8379.885,8232.054
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",7050.439,7328.194,6929.927999999999,7530.338,7665.183,8065.371999999999,6359.863,6663.656,7244.732,6316.76,6295.508,5915.1539999999995,5959.494,6616.223,6886.232999999999,7344.258,7407.79,7629.655,7685.166,8379.885,8232.054
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",5775.549,5946.888,5554.967,6247.05,6421.015,6826.058,5194.195,5374.047,5989.245,5057.295,5053.472,4653.397,4624.536,5301.86,5594.275,6027.418,6075.042,6232.585,6261.069,6888.918,6717.799
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",1070.385,1197.072,1131.359,1152.377,1097.206,1112.205,1014.442,1092.417,1069.161,1081.864,1041.108,1035.353,1096.623,1095.81,1091.981,1135.665,1174.186,1237.552,1260.822,1328.948,1316.572
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",173.646,160.152,186.172,107.787,95.668,104.387,107.448,155.793,150.469,154.577,170.791,182.258,207.202,171.544,136.077,136.656,114.557,110.32,114.543,108.766,146.175
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",30.859,24.082,57.43,23.124,51.294,22.722,43.778,41.399,35.857,23.024,30.137,44.146,31.133,47.009,63.9,44.519,44.005,49.198,48.732,53.253,51.508
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,30373.6,29718.71,27961.731,29688.136000000002,34378.078,35098.225,33782.375,35608.004,40302.725,39760.889,38637.734000000004,38416.145000000004,41352.22,38893.781,43544.356,40351.099,48805.379,42651.893,34586.399,30511.354,33551.948000000004
