Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,231278.92399999997,242836.198,235761.59900000002,241373.384,248235.60500000004,261332.53200000004,256632.61299999998,261476.68600000002,273067.299,286058.274,299615.20499999996,307939.663,300289.37600000005,305382.23400000005,304646.65700000006,308981.254,309426.436,286240.78200000006,303251.38099999994,300478.11299999995,310240.19100000005
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",11822.417,12105.736,12173.252,12471.906,12143.522,13516.089,12195.889,11387.188,11600.843,11671.743,11808.018,11813.369,12073.655,12475.226,12083.479,12462.07,12628.15,11165.859,12516.045,12814.997,12952.472
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,219456.50699999998,230730.462,223588.347,228901.478,236092.08300000004,247816.44300000003,244436.724,250089.49800000002,261466.456,274386.53099999996,287807.187,296126.294,288215.721,292907.00800000003,292563.1780000001,296519.184,296798.28599999996,275074.92300000007,290735.33599999995,287663.116,297287.71900000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,23867.707000000002,24297.781,20320.877999999997,23408.510000000002,22611.265,22404.576,23601.58,22351.959,20731.678,23594.245,24302.392,24870.858999999997,24183.512,24986.965,25297.303,24770.021999999997,24395.861,24270.862,26908.343,26599.122000000003,25991.024
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",23867.707000000002,24297.781,20320.877999999997,23408.510000000002,22611.265,22404.576,23601.58,22351.959,20731.678,23594.245,24302.392,24870.858999999997,24183.512,24986.965,25297.303,24770.021999999997,24395.861,24270.862,26908.343,26599.122000000003,25991.024
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",7447.315,7656.905,5098.225,8043.216,6669.959,7079.231,7418.996,6568.561,4820.801,7305.94,8123.699,8727.929,7448.794,7855.238,8620.144,8062.617,7342.259,6971.66,8798.442,8090.308,7033.415
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",11506.224,11733.47,11499.894,12042.62,12231.809,12498.933,12322.238,12713.91,12759.751,12903.884,12560.876,12804.898,13867.078,13437.232,13851.533,13889.089,14241.459,14474.488,15297.522,15652.234,16040.8
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",4914.168,4907.406,3722.759,3322.674,3709.497,2826.412,3860.346,3069.488,3151.126,3384.421,3617.817,3338.032,2867.64,3694.495,2825.626,2818.316,2812.143,2824.714,2812.379,2856.58,2916.809
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,80550.45300000001,87186.827,80768.367,78992.606,84445.389,94081.19600000001,94125.183,94047.41600000001,101170.60100000001,105017.89800000002,114329.50399999999,121313.66999999998,112287.38799999999,110560.95000000001,111033.037,113218.188,115489.663,105625.42700000001,110917.549,107445.814,113504.93
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,10287.095,10710.841,12380.459,12290.07,14741.098,12605.528,11393.738,14693.43,17084.975,20894.576,22557.863,23308.837,23172.695,18863.069,19060.825,21970.16,19332.808,20736.125,22906.438,24188.341,22090.218
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,10287.095,10710.841,12380.459,12290.07,14741.098,12605.528,11393.738,14693.43,17084.975,20894.576,22557.863,23308.837,23172.695,18863.069,19060.825,21970.16,19332.808,20736.125,22906.438,24188.341,22090.218
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",3432.655,4601.082,5150.14,5961.58,6599.392,6131.387,6080.196,6560.169,6768.655,6096.602,6576.537,7130.894,6793.682,6292.261,6825.253,7041.499,6306.514,6410.76,4977.277,4850.715,5199.668
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,24875.745,29154.554,19328.853,16578.769,18416.138,25552.139,28810.788,24909.198,27153.629,24920.13,31899.452,38937.824,29281.274,30330.195,32273.515,29554.739,33399.192,23130.582,23298.228,17435.269,24866.979
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,41954.958000000006,42720.350000000006,43908.915,44162.187,44688.76099999999,49792.14200000001,47840.461,47884.619000000006,50163.34200000001,53106.590000000004,53295.651999999995,51936.115,53039.736999999994,55075.425,52873.443999999996,54651.78999999999,56451.149000000005,55347.96000000001,59735.60600000001,60971.489,61348.06499999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,19832.419,21051.957,22555.22,22296.087,22805.598,24276.939,24696.221,24473.021,24785.078,23394.246,23472.985,22330.106,23315.127,24691.918,23863.021,25935.87,26668.334,27650.283,28983.558,29042.128,29604.756
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,405.27,458.821,375.606,360.066,374.354,382.293,367.224,353.467,402.334,457.753,504.881,553.156,720.683,699.083,707.574,735.689,747.124,770.647,787.491,812.346,856.547
