Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,254042.53999999995,265397.24,272647.21,280082.837,287333.39599999995,288164.177,282203.09699999995,290708.028,291758.33900000004,294551.278,299721.33300000004,320203.6670000001,314103.69499999995,313422.06000000006,308568.037,317844.94200000004,317146.825,289968.16,303633.381,310105.899,313074.74999999994
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",13083.397,14023.132,15098.754,15273.324,14836.218,15979.62,13992.336,12499.833,12134.875,11986.986,11575.411,12474.629,11978.056,11668.37,11081.567,11868.951,12158.123,10457.319,11951.714,11782.415,12256.643
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,240959.14299999995,251374.108,257548.456,264809.513,272497.17799999996,272184.55700000003,268210.76099999994,278208.195,279623.46400000004,282564.292,288145.922,307729.03800000006,302125.63899999997,301753.69000000006,297486.47000000003,305975.99100000004,304988.702,279510.84099999996,291681.667,298323.484,300818.10699999996
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,13751.134,12987.35,13453.154999999999,14221.674999999997,14267.295999999998,15010.535,14270.160999999998,15112.159,14839.484999999999,14258.151,13112.848,14486.225999999999,13605.543999999998,15156.898,15455.837999999998,15461.676,15071.909,16404.009000000002,16549.242,16894.097,16248.164
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",13751.134,12987.35,13453.154999999999,14221.674999999997,14267.295999999998,15010.535,14270.160999999998,15112.159,14839.484999999999,14258.151,13112.848,14486.225999999999,13605.543999999998,15156.898,15455.837999999998,15461.676,15071.909,16404.009000000002,16549.242,16894.097,16248.164
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",9685.321,9175.044,9598.402,10221.791,10259.199,11000.385,10292.247,11158.952,10703.475,10449.497,9316.919,10573.914,9643.478,11237.876,11607.702,11623.007,11334.026,12606.392,12710.634,12865.058,12259.923
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",3572.339,3282.298,3338.534,3366.749,3374.338,3291.404,3325.227,3372.011,3316.963,3390.217,3330.14,3470.71,3474.819,3275.774,3189.339,3177.836,3168.455,3197.683,3245.227,3281.127,3343.981
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",40.331,41.641,62.453,58.201,56.576,65.088,83.401,56.49,69.506,76.492,81.437,107.373,181.65,229.93,255.176,203.786,115.993,96.848,86.006,75.213,73.926
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",453.143,488.367,453.766,574.934,577.183,653.658,569.286,524.706,749.541,341.945,384.352,334.229,305.597,413.318,403.621,457.047,453.435,503.086,507.375,672.699,570.334
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,41188.554000000004,44051.137,47164.546,51249.534999999996,57542.1,57117.132000000005,58179.369,58149.549999999996,56431.163,57042.935,62356.702,74633.338,64747.398,64043.22099999999,58664.07,60231.844999999994,58494.397,53196.974,51219.778000000006,49949.381,49967.636
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,2531.988,2600.121,2720.85,2689.007,4100.292,6055.73,5137.708,5176.981,4536.698,5795.835,5353.465,5263.069,5379.154,6900.114,6338.715,6986.04,7628.056,6413.881,7926.845,8147.227,9639.078
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2531.988,2600.121,2720.85,2689.007,4100.292,6055.73,5137.708,5176.981,4536.698,5795.835,5353.465,5263.069,5379.154,6900.114,6338.715,6986.04,7628.056,6413.881,7926.845,8147.227,9639.078
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",7452.002,7624.018,9951.7,11501.853,12738.561,9265.676,11536.451,14874.961,14492.141,14343.699,14661.517,16421.827,15269.185,15946.624,17980.143,17129.968,14607.279,12239.172,6719.527,9204.387,7650.663
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,19427.785,21747.288,21073.121,23968.621,28026.154,29425.443,29362.913,26397.932,25555.749,25365.061,30470.37,40574.652,32780.318,30270.23,23953.952,25416.889,25391.117,23690.671,25527.489,21590.161,21932.134
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,11776.779000000002,12079.710000000003,13418.875,13090.053999999998,12677.093,12370.283000000003,12142.296999999999,11699.675999999998,11846.574999999997,11538.339999999998,11871.35,12373.79,11318.741,10926.253,10391.26,10698.947999999999,10867.945000000002,10853.250000000002,11045.917000000001,11007.605999999998,10745.760999999997
