Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,708927.872,728133.1049999999,731639.285,769496.2629999999,778043.648,798104.4099999999,761825.9269999999,812725.516,854766.2,892378.879,931176.5,978988.6639999999,1026150.1880000001,1064742.519,1115370.824,1120602.8439999998,1099063.4450000003,1019446.377,1084518.1330000001,1110918.71,1128468.2810000002
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",42499.715,43948.299,44727.252,46650.849,46015.56,48208.328,43952.825,45511.396,47359.021,47063.537,49313.916,54732.386,60483.29,63101.249,64280.605,62815.407,61535.875,54089.856,60765.1,63911.382,66658.705
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,666428.157,684184.8059999999,686912.033,722845.4139999999,732028.088,749896.0819999999,717873.102,767214.12,807407.179,845315.342,881862.584,924256.2779999999,965666.898,1001641.27,1051090.219,1057787.437,1037527.5700000002,965356.521,1023753.033,1047007.328,1061809.5760000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,30665.639,32398.41,29075.764999999996,28104.6,30450.066,31777.406000000003,31624.389,32086.337,31506.091,31620.319000000003,34488.91100000001,35004.083999999995,34032.700999999994,34967.756,38585.646,40472.77,40408.145000000004,41037.97900000001,44249.986999999994,43393.45,42241.259
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",30665.639,32398.41,29075.764999999996,28104.6,30450.066,31777.406000000003,31624.389,32086.337,31506.091,31620.319000000003,34488.91100000001,35004.083999999995,34032.700999999994,34967.756,38585.646,40472.77,40408.145000000004,41037.97900000001,44249.986999999994,43393.45,42241.259
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",20186.083,22094.104,18267.259,17242.53,19397.3,20303.99,19540.457,19846.715,18849.398,18660.609,21745.042,22011.043,21128.161,21952.071,25497.479,27346.372,27285.992,27670.433,30626.548,29576.111,28218.012
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",10075.424,9925.644,10424.969,10403.504,10682.193,11115.647,11658.738,11881.003,12262.312,12541.369,12238.857,12491.642,12538.664,12640.859,12662.104,12668.585,12646.111,12901.511,13107.474,13334.339,13558.036
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",404.132,378.662,383.537,458.566,370.573,357.769,425.194,358.619,394.381,418.341,505.012,501.399,365.876,374.826,426.063,457.813,476.042,466.035,515.965,483,465.211
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,264630.593,272275.584,271985.481,290881.124,282491.596,289525.468,270993.849,291483.26900000003,310273.295,326976.12899999996,356743.50399999996,392112.36,420017.68200000003,445652.177,466449.37600000005,440483.074,417503.2300000001,388098.574,416419.05100000004,429210.33100000006,428847.31999999995
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,4736.734,4692.813,6222.054,6107.063,5635.458,6234.963,3968.781,3547.587,2933.562,3642.668,3294.854,3155.949,3606.171,3266.769,3643.437,3488.236,2697.383,2177.75,2286.711,2023.487,1946.424
