Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,331525.317,357756.18000000005,353466.25399999996,349080.409,359175.954,370254.812,354594.237,358637.29600000003,366544.30100000004,379811.021,379719.80799999996,397901.37799999997,413909.17900000006,418466.27,416408.562,418630.444,409266.41599999997,364939.79400000005,391962.04099999997,431251.882,441422.25499999995
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",16257.212,17009.655,17305.494,17330.029,17131.636,17981.548,16498.227,15623.454,15497.773,15594.688,15160.993,15541.719,16523.112,16871.682,16891.263,18044.868,19051.096,17064.476,19226.85,21616.544,22109.903
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,315268.105,340746.525,336160.75999999995,331750.38,342044.318,352273.26399999997,338096.01,343013.842,351046.52800000005,364216.333,364558.81499999994,382359.659,397386.06700000004,401594.588,399517.299,400585.576,390215.31999999995,347875.318,372735.191,409635.338,419312.35199999996
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,12227.523,12150.619,12052.494999999999,13351.885,12822.901,13213.807,12286.567,12528.195,11138.377,12936.001000000002,13416.87,13155.211000000001,12971.271999999999,12744.778,12540.417000000001,12575.646999999999,12014.702000000001,12052.797999999999,12033.350999999999,11908.746,11692.467
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",12227.523,12150.619,12052.494999999999,13351.885,12822.901,13213.807,12286.567,12528.195,11138.377,12936.001000000002,13416.87,13155.211000000001,12971.271999999999,12744.778,12540.417000000001,12575.646999999999,12014.702000000001,12052.797999999999,12033.350999999999,11908.746,11692.467
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",6494.726,6452.894,6185.146,7163.229,6628.238,7024.057,6147.906,6779.935,5384.178,7430.569,7807.122,7308.377,7348.023,7285.546,7045.609,7099.286,6460.671,6441.565,6380.575,6143.4,5805.305
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",5414.056,5395.597,5567.46,5847.675,5803.402,5784.821,5773.678,5436.584,5360.935,5177.475,5215.582,5144.252,5294.396,5152.971,5142.914,5112.721,5195.787,5247.073,5292.207,5374.043,5505.785
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",318.741,302.128,299.889,340.981,391.261,404.929,364.983,311.676,393.264,327.957,394.166,702.582,328.853,306.261,351.894,363.64,358.244,364.16,360.569,391.303,381.377
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,152686.27899999998,175443.54,169150.444,157623.794,164298.67500000002,168794.868,162797.539,156595.00699999998,159097.994,163989.67299999998,158296.378,167993.687,174914.758,169859.472,163712.332,155109.494,147109.47799999997,124320.99600000001,137131.701,163788.923,167482.477
