Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,448524.814,459993.952,461303.8569999999,485161.70399999997,499362.052,511751.72799999994,491327.00999999995,502494.7940000001,522286.5630000001,531827.401,533525.8060000001,560341.417,573505.865,591409.519,610394.385,633756.559,635628.2010000001,601188.661,629066.207,652066.839,678519.161
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",24056.061,25049.325,24261.718,24839.406,24286.303,25728.195,23658.553,22082.588,22047.531,21681.492,21055.127,22881.083,25833.861,26462.717,26631.532,27365.069,27448.226,25250.196,27908.359,29134.67,31415.341
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,424468.753,434944.627,437042.1389999999,460322.29799999995,475075.749,486023.53299999994,467668.45699999994,480412.2060000001,500239.03200000006,510145.909,512470.67900000006,537460.334,547672.004,564946.802,583762.853,606391.49,608179.9750000001,575938.465,601157.848,622932.169,647103.82
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,46765.485,43937.295000000006,43258.88599999999,49203.122,51820.33299999999,55856.985,53469.679000000004,50934.702000000005,56010.862,57754.064000000006,59983.174999999996,65334.331000000006,64777.340000000004,75681.701,81585.50999999998,84100.472,84321.163,83369.026,88494.538,89619.17400000001,97507.794
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",46765.485,43937.295000000006,43258.88599999999,49203.122,51820.33299999999,55856.985,53469.679000000004,50934.702000000005,56010.862,57754.064000000006,59983.174999999996,65334.331000000006,64777.340000000004,75681.701,81585.50999999998,84100.472,84321.163,83369.026,88494.538,89619.17400000001,97507.794
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",35942.632,34300.427,34193.299,38533.73,40916.236,43737.222,41222.65,39944.864,44348.033,47356.481,48346.021,53979.284,53805.932,63313.078,69086.17,70832.88,70744.534,68467.113,73454.78,74403.272,82134.663
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",6217.332,6067.583,6036.355,6247.882,6665.073,6874.029,7012.708,7227.213,7231.655,7143.692,6920.251,6798.442,6675.261,6620.608,6649.684,6871.06,7179.425,7492.521,7667.353,7825.46,8046.954
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",72.38,74.959,49.99,52.118,131.468,48.719,28.44,78.305,41.251,24.697,47.952,152.79,217.796,234.832,158.343,134.98,61.958,38.24,43.397,18.27,25.143
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",4533.141,3494.326,2979.242,4369.392,4107.556,5197.015,5205.881,3684.32,4389.923,3229.194,4668.951,4403.815,4078.351,5513.183,5691.313,6261.552,6335.246,7371.152,7329.008,7372.172,7301.034
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,103010.19499999999,111655.14899999999,105263.77899999998,112796.19200000001,122980.39600000001,124604.251,109752.10699999999,117066.229,121478.987,122469.638,115712.968,121567.81700000001,123120.97399999999,120574.50499999998,120880.642,119646.943,118740.70300000001,115680.625,108589.218,112075.32,117282.85
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,10767.023,12135.419,9884.991,10583.368,11784.795,11923.557,10459.743,12195.138,11439.32,13091.648,10624.096,8630.065,7133.24,6205.055,5901.884,5633.913,5350.583,5957.118,6023.01,5737.421,5554.87
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,10767.023,12135.419,9884.991,10583.368,11784.795,11923.557,10459.743,12195.138,11439.32,13091.648,10624.096,8630.065,7133.24,6205.055,5901.884,5633.913,5350.583,5957.118,6023.01,5737.421,5554.87
