Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,217613.142,224157.80999999997,235326.288,232043.608,237033.90699999998,231184.487,222778.28699999998,232495.23400000003,241158.46999999997,248100.471,258139.365,259665.78199999998,265750.876,274364.869,277402.793,273244.597,269686.00100000005,244988.80599999998,259938.54499999998,260119.46300000002,265778.52900000004
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",14583.471,15071.897,15558.007,15480.605,15430.512,15537.003,13978.829,13824.377,14427.978,14424.729,14820.467,15107.619,16141.673,16546.986,16372.426,15785.993,15345.411,13249.82,14388.837,13754.167,14532.149
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,203029.671,209085.91299999997,219768.281,216563.003,221603.395,215647.484,208799.45799999998,218670.85700000002,226730.49199999997,233675.742,243318.898,244558.16299999997,249609.20299999998,257817.88300000003,261030.36700000003,257458.604,254340.59000000003,231738.98599999998,245549.70799999998,246365.29600000003,251246.38000000003
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,6664.486,7107.286,7462.437999999999,7523.191,8018.481000000001,6874.061,7319.420999999999,7538.857,6865.285,6768.673,7856.318,7311.366,6880.919,7487.135,7812.910999999999,8411.033,8521.297,8956.280999999999,9165.165,9135.621,8697.650000000001
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",6664.486,7107.286,7462.437999999999,7523.191,8018.481000000001,6874.061,7319.420999999999,7538.857,6865.285,6768.673,7856.318,7311.366,6880.919,7487.135,7812.910999999999,8411.033,8521.297,8956.280999999999,9165.165,9135.621,8697.650000000001
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",5425.746,5480.732,6016.696,6073.818,6626.126,5451.216,5822.941,5956.063,5364.37,5445.719,6156.916,5835.715,5383.821,6124.04,6372.458,6871.66,6979.113,7288.132,7458.502,7395.369,6955.712
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",1011.227,996.139,991.346,1036.638,1076.099,1088.757,1196.098,1230.606,1169.226,1205.99,1323.552,1219.382,1199.828,1218.589,1222.288,1215.942,1208.76,1277.433,1319.601,1354.03,1364.293
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",227.513,630.415,454.396,412.735,316.256,334.088,300.382,352.188,331.689,116.964,375.85,256.269,297.27,144.506,218.165,323.431,333.424,390.716,387.062,386.222,377.645
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,66003.374,68275.12299999999,75874.095,68419.047,72090.21100000001,68332.359,68833.546,73623.42000000001,76155.84199999999,77816.327,81182.401,82619.635,83726.206,86454.997,88648.569,80574.881,76861.851,67569.147,74189.03199999999,73823.57800000001,72533.459
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,675.989,580.244,707.681,441.686,402.692,361.81,390.45,391.232,331.893,270.43,275.679,318.536,778.029,613.688,596.768,591.311,298.014,324.847,345.941,403.336,378.548
