Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,1533475.1709999996,1567254.003,1617553.74,1710985.648,1755709.4820000003,1766743.7930000003,1656805.1770000001,1773209.5809999998,1852646.107,1911401.717,1923371.6189999995,1966749.107,2007571.8499999999,2058752.8020000001,2166131.8370000003,2243797.9699999997,2209647.0640000002,2035392.3219999997,2163537.8570000003,2218452.727,2269428.809
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",123970.201,124541.826,134144.845,143818.531,142560.161,146693.769,129820.955,132136.443,135020.314,137581.551,136876.988,130847.288,123881.643,126747.924,131944.007,134298.416,131206.15,114850.463,126024.275,129763.287,131679.396
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,1409504.9699999997,1442712.177,1483408.895,1567167.117,1613149.3210000002,1620050.0240000002,1526984.222,1641073.1379999998,1717625.793,1773820.166,1786494.6309999996,1835901.8190000001,1883690.207,1932004.878,2034187.83,2109499.5539999995,2078440.9140000003,1920541.8589999997,2037513.5820000004,2088689.44,2137749.4129999997
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,25470.07,25401.751,23270.987,25549.927,29246.571999999996,25668.181,22446.701999999997,24313.281,20279.604,23798.288,25176.232,27072.932,27882.388,29983.178,29104.699999999997,26636.125999999997,26463.625999999997,27482.592999999997,27661.671000000002,26201.806,25805.85
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",25470.07,25401.751,23270.987,25549.927,29246.571999999996,25668.181,22446.701999999997,24313.281,20279.604,23798.288,25176.232,27072.932,27882.388,29983.178,29104.699999999997,26636.125999999997,26463.625999999997,27482.592999999997,27661.671000000002,26201.806,25805.85
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",16854.816,16149.989,14524.101,16235.604,19031.584,17607.312,14049.942,15822.826,12246.316,14793.116,16991.407,18680.719,19082.62,20865.583,20234.297,19089.733,18991.339,20036.57,20120.363,18621.53,18079.942
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",8020.604,7979.137,7895.786,7905.962,7832.031,7209.999,7162.222,7270.685,7263.878,7329.331,7230.502,7280.749,7217.651,6963.574,6802.607,6643.615,6606.99,6492.12,6605.09,6655.126,6802.951
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",594.65,1272.625,851.1,1408.361,2382.957,850.87,1234.538,1219.77,769.41,1675.841,954.323,1111.464,1582.117,2154.021,2067.796,902.778,865.297,953.903,936.218,925.15,922.957
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,510071.2539999999,520867.5809999999,534163.2339999999,560168.2710000001,560255.959,555529.401,508342.343,555635.191,580406.9079999999,584956.636,585636.027,582522.904,597875.986,599043.4110000001,651401.929,657991.4149999999,618543.1510000001,562547.466,600630.789,602984.9870000001,594915.1560000001
