Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,112071.42300000001,128877.87999999999,135701.452,135896.55599999998,133768.03100000002,143531.32200000001,134902.594,137487.191,141214.937,142897.855,145073.201,145894.41799999998,147428.81100000002,152585.941,155110.355,155757.53799999997,157163.25299999997,142605.244,155968.659,162601.045,162761.44
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",6465.367,6827.777,7620.623,7837.256,7111.216,7632.421,7172.903,6798.209,6980.483,6593.268,6785.678,6318.387,6623.507,6883.137,7084.47,7083.019,7572.289,6262.197,7229.236,8384.547,9115.331
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,105606.05600000001,122050.10299999999,128080.829,128059.29999999999,126656.815,135898.901,127729.69100000002,130688.982,134234.454,136304.587,138287.52300000002,139576.031,140805.304,145702.804,148025.885,148674.51899999997,149590.96399999998,136343.04700000002,148739.423,154216.49800000002,153646.109
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,8486.309,9810.45,9606.887,9579.377999999999,10914.949,11977.435999999998,10744.929,10432.239,11523.203,11933.454000000002,10851.17,9845.298,10029.064999999999,10947.327,11113.242,10841.588,11756.258,12009.31,11801.647,11866.755,10689.056999999999
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",8486.309,9810.45,9606.887,9579.377999999999,10914.949,11977.435999999998,10744.929,10432.239,11523.203,11933.454000000002,10851.17,9845.298,10029.064999999999,10947.327,11113.242,10841.588,11756.258,12009.31,11801.647,11866.755,10689.056999999999
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",5936.478,7169.882,7124.394,7281.264,8319.011,9443.514,8359.426,8072.502,8918.471,9071.638,8328.751,7435.007,7612.596,8232.101,8290.165,8006.972,9001.681,9071.128,8812.753,8953.391,8046.323
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",2186.407,2245.51,2148.167,2001.663,2161.069,2137.938,2045.313,2033.942,2115.938,2400.097,2079.993,1944.466,1843.004,1869.234,1877.948,1935.821,1938.946,2151.997,2104.353,2143.034,2089.991
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",294.464,289.324,241.393,193.274,295.663,250.603,252.377,248.249,395.132,370.922,351.956,368.351,493.057,772.175,849.167,798.678,706.819,689.585,788.314,653.132,444.033
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",68.96,105.734,92.933,103.177,139.206,145.381,87.813,77.546,93.662,90.797,90.47,97.474,80.408,73.817,95.962,100.117,108.812,96.6,96.227,117.198,108.71
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,22106.352,34672.402,38863.831,35406.962,33143.237,37127.887,32560.884000000002,30798.729999999996,31622.034,33378.852,33728.329,34822.371,32028.001,32716.369,31441.583,29549.534,29372.760000000006,25236.038999999997,31121.519,30480.376000000004,29501.643000000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,1738.085,2795.034,3053.343,2549.405,2641.871,2589.996,2321.804,1964.788,2035.27,2283.946,2272.133,2234.85,2027.879,2075.517,1985.537,1621.055,1606.641,1429.668,1962.13,1933.598,2081.438
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1738.085,2795.034,3053.343,2549.405,2641.871,2589.996,2321.804,1964.788,2035.27,2283.946,2272.133,2234.85,2027.879,2075.517,1985.537,1621.055,1606.641,1429.668,1962.13,1933.598,2081.438
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",1627.852,2363.839,1801.865,1717.881,3451.687,5020.484,3083.006,4246.559,3053.607,2580.414,2870.089,5039.306,5725.463,5535.652,5092.787,6540.996,5129.569,4926.269,5150.428,4362.368,2334.814
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,12352.061,23236.184,27405.568,24707.15,20529.306,23172.22,20965.997,18017.262,19893.906,21677.946,21845.698,20659.889,17193.728,17874.149,17080.395,14049.805,14718.825,11093.206,16043.63,16297.459,17327.949
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,6388.353999999999,6277.344999999998,6603.054999999999,6432.525999999999,6520.3730000000005,6345.187000000001,6190.077,6570.121000000001,6639.251,6836.5459999999985,6740.409000000001,6888.326,7080.931,7231.0509999999995,7282.863999999999,7337.677999999999,7917.725000000002,7786.895999999998,7965.331,7886.951000000002,7757.442000000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,4186.985,4072.718,4371.826,4189.547,4170.443,4027.716,3929.565,4285.002,4139.28,4259.951,4310.482,4536.376,4815.62,4853.831,4874.776,4682.321,5125.814,5005.481,4983.051,5012.265,4591.485
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,704.102,748.501,868.467,861.575,969.401,963.467,995.665,943.89,1126.259,1157.695,1195.345,1144.278,1058.899,1197.985,1249.048,1277.543,1375.229,1307.016,1398.86,1391.514,1588.497
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",28.57,31.558999999999997,29.653000000000002,30.431,32.767,29.895000000000003,30.889,34.949,32.675,32.464999999999996,32.008,33.558,35.263999999999996,34.942,30.375,40.909,46.563,42.238,48.504,45.774,44.1
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",94.581,93.517,93.969,91.735,89.38900000000001,88.096,87.292,89.422,84.69800000000001,84.28999999999999,79.48400000000001,79.504,83.824,83.795,87.739,90.23400000000001,96.892,82.397,90.178,93.815,92.313
