Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,1289662.1219999997,1335507.8390000002,1368861.9909999997,1469583.8980000003,1532409.515,1531655.04,1411038.6519999995,1509564.271,1558834.9949999999,1621930.2710000002,1611568.7880000002,1666974.7010000004,1728163.992,1743960.883,1809343.556,1909026.4349999998,1918825.0059999998,1743165.623,1865875.274,1928658.4289999995,1995895.4170000004
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",97075.183,99741.832,99243.64,105776.159,106928.893,109217.604,95855.43,97061.309,95764.297,95292.848,92759.695,96212.475,103692.016,108443.299,112113.056,120319.824,121844.74,103022.302,114924.11,121859.052,125970.392
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,1192586.9389999998,1235766.0070000002,1269618.3509999998,1363807.7390000003,1425480.622,1422437.436,1315183.2219999996,1412502.962,1463070.6979999999,1526637.4230000002,1518809.093,1570762.2260000003,1624471.976,1635517.5839999998,1697230.5,1788706.6109999998,1796980.2659999998,1640143.321,1750951.1639999999,1806799.3769999996,1869925.0250000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,11260.127,10348.765000000001,9649.533,9426.818,10348.043000000001,9707.646,10150.258,10616.776000000002,9489.092999999999,9890.615,9741.964,9918.297,9215.727,8444.347,8499.742000000002,8533.487000000001,9383.744999999999,9321.439,9069.976999999999,9313.725,9315.9
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",11260.127,10348.765000000001,9649.533,9426.818,10348.043000000001,9707.646,10150.258,10616.776000000002,9489.092999999999,9890.615,9741.964,9918.297,9215.727,8444.347,8499.742000000002,8533.487000000001,9383.744999999999,9321.439,9069.976999999999,9313.725,9315.9
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",5367.257,4749.109,3687.973,3838.951,4019.389,3933.059,3813.554,4349.895,3343.644,4020.816,4085.87,4045.865,3680.046,3410.563,3593.492,3546.059,3888.387,3582.485,3139.37,3268.166,3041.133
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",5652.384,5321.719,5107.72,5350.675,5868.099,5682.594,6218.544,6146.417,6038.819,5749.333,5579.299,5768.368,5428.972,4922.216,4822.818,4838.71,5349.755,5577.304,5770.946,5887.798,6120.981
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",240.486,277.937,853.84,237.192,460.555,91.993,118.16,120.464,106.63,120.466,76.795,104.064,106.709,111.568,83.432,148.718,145.603,161.65,159.661,157.761,153.786
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,539396.938,552018.8030000001,570810.482,619705.41,640216.2649999999,624890.5440000001,577894.4469999999,622242.127,636987.9380000001,654371.155,638205.0630000001,665679.404,688313.452,671980.7010000001,695124.414,761978.3349999998,763827.498,676930.6170000001,741059.841,768414.3259999999,792377.6640000001
