Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,362456.14999999997,369439.028,376461.0410000001,380271.447,378474.4100000001,388520.309,385689.5290000001,379991.32100000005,385968.00000000006,386537.7,397816.027,395065.139,401404.01100000006,399767.90299999993,358236.419,383159.64599999995,367363.646,350911.40499999997,385418.05799999996,415502.711,446836.29500000004
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",18160.049,18322.973,19035.095,19686.042,19854.271,20850.645,19310.221,16039.666,15954.729,15138.254,15272.2,15319.291,16252.204,16810.883,15352.385,16217.267,16471.756,14619.061,15813.419,17551.885,18095.652
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,344296.10099999997,351116.055,357425.94600000005,360585.40499999997,358620.1390000001,367669.664,366379.3080000001,363951.655,370013.27100000007,371399.446,382543.827,379745.848,385151.80700000003,382957.01999999996,342884.034,366942.37899999996,350891.89,336292.344,369604.63899999997,397950.826,428740.64300000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,14957.333,14292.573,13357.899999999998,14633.156,14657.705,14994.696,15799.84,15568.875,15037.116,15740.815999999999,16455.091,15796.989000000001,15602.891999999998,16276.289999999999,16258.727,17238.302,17206.943,18066.56,18761.539,18418.17,18110.227
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",14957.333,14292.573,13357.899999999998,14633.156,14657.705,14994.696,15799.84,15568.875,15037.116,15740.815999999999,16455.091,15796.989000000001,15602.891999999998,16276.289999999999,16258.727,17238.302,17206.943,18066.56,18761.539,18418.17,18110.227
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",10334.975,9695.374,9036.987,10350.757,10092.753,10453.966,11222.51,11047.784,10351.774,10775.043,11504.313,10806.384,10546.72,11347.877,11053.323,11913.692,11857.256,12623.915,13270.173,12884.757,12389.949
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",3676.316,3624.607,3578.433,3525.449,3582.876,3628.373,3732.295,3887.896,3898.839,4094.285,3960.251,4090.395,4095.989,4021.728,4028.411,4109.197,4204.154,4315.819,4399.597,4426.406,4519.967
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",130.951,124.986,118.306,95.67,109.219,78.397,98.57,143.471,108.655,92.775,162.589,170.985,212.381,192.594,230.732,181.109,113.121,109.323,69.717,71.175,100.498
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",815.091,847.606,624.174,661.28,872.857,833.96,746.465,489.724,677.848,778.713,827.938,729.225,747.802,714.091,946.261,1034.304,1032.412,1017.503,1022.052,1035.832,1099.813
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,136773.84399999998,135798.21600000001,135076.61500000002,132992.076,130870.918,136885.608,139883.385,135737.535,140638.424,136909.266,145491.60600000003,141992.04100000003,138888.386,136098.15,94709.296,110433.08499999999,94074.39099999999,95302.72899999999,115041.276,132124.683,153244.51
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,513.868,592.078,886.446,1236.833,1234.156,1311.508,1167.602,1217.982,1377.238,1743.032,2216.061,2285.027,2607.694,2515.784,2661.682,2647.346,2455.264,2064.679,2356.655,2598.233,2923.098
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,513.868,592.078,886.446,1236.833,1234.156,1311.508,1167.602,1217.982,1377.238,1743.032,2216.061,2285.027,2607.694,2515.784,2661.682,2647.346,2455.264,2064.679,2356.655,2598.233,2923.098
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",2447.832,3307.015,3584.011,4333.71,4596.631,4724.824,5032.233,5961.455,6098.612,6799.893,6570.551,7771.665,8062.074,8168.682,7835.534,9012.396,7808.08,8316.756,7339.922,8375.415,7530.97
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,27461.949,28495.787,26432.911,24423.011,25268.313,28545.489,31525.205,32070.927,34128.786,38235.545,38226.753,38752.821,42580.346,39367.567,26301.058,31890.347,27590.622,29092.539,37893.491,50430.044,73686.791
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,106350.19499999999,103403.33600000001,104173.24700000002,102998.52200000001,99771.818,102303.787,102158.34500000002,96487.171,99033.788,90130.796,98478.24100000002,93182.528,85638.272,86046.11699999998,57911.022000000004,66882.996,56220.42499999999,55828.755,67451.208,70720.991,69103.651
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,11767.513,11528.357,12246.531,11792.118,11938.737,12555.953,13000.027,12333.136,12433.173,11999.963,13289.442,13359.069,13201.647,13801.961,12230.545,12842.345,12314.482,12448.993,12818.137,13502.359,13463.765
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,3209.641,3449.378,3847.266,4512.052,5401.204,5133.17,5325.387,3130.758,3546.611,3281.804,3623.489,3888.225,4557.324,5211.27,4747.181,5254.618,5717.983,5475.361,5530.935,5626.776,5256.649
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",645.548,650.427,621.584,632.439,633.321,562.153,564.753,567.119,524.155,475.405,492.992,474.90599999999995,454.384,492.126,446.13800000000003,425.47,441.856,404.188,472.022,492.048,460.333
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",868.85,839.5659999999999,859.919,841.079,816.6429999999999,858.269,914.773,929.586,903.375,829.244,842.153,722.147,713.094,745.361,605.414,650.981,643.915,503.24,587.463,630.469,572.192
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,2240.454,2721.118,2476.796,2635.764,2277.825,2367.481,2136.929,2388.823,2506.977,2430.652,1901.326,1625.629,1454.993,1709.245,1880.346,1789.957,1777.957,1538.442,1788.361,1629.984,956.669
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,585.995,655.007,663.384,715.147,712.558,774.358,688.009,483.51200000000006,570.966,619.951,681.648,891.912,819.683,984.6560000000001,975.348,978.065,1023.938,1019.994,1143.55,1160.728,1163.408
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,81892.06599999999,78436.59500000002,78032.91800000002,76543.24600000001,72641.746,74623.743,74292.061,71262.529,72799.335,65258.309,72935.82600000002,67706.06,59784.393,58422.757,32866.087,40549.061,29870.075,30278.235,40672.238,43488.604,42994.615
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,2576.146,2591.432,2785.975,2734.743,2576.351,2479.497,2371.741,2284.644,2391.661,2372.538,2545.148,2500.625,2631.295,2489.119,2421.264,2470.437,2504.931,2464.514,2540.87,2340.504,2448.878
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,1263.593,1324.305,1351.082,1366.961,1568.875,1576.65,1488.88,1608.5159999999998,1829.619,1532.243,936.073,918.8670000000001,872.662,941.015,733.917,661.2539999999999,654.657,569.769,617.342,562.669,572.489
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",118.875,107.808,118.854,126.89500000000001,135.894,138.117,112.566,305.70500000000004,307.484,178.029,132.919,84.003,157.013,105.723,75.07300000000001,129.504,126.975,109.256,122.859,118.334,138.697
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",877.096,825.074,881.726,828.984,816.365,817.215,838.617,819.702,834.781,786.608,745.342,668.21,665.78,666.4,497.521,587.293,592.098,576.628,628.061,625.796,555.975
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,304.418,274.269,287.212,269.094,252.299,417.181,424.602,373.141,385.651,366.05,351.883,342.875,326.004,476.484,432.188,544.011,551.558,440.135,529.37,542.72,519.981
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias<C1>,192564.92399999997,201025.26599999997,208991.43100000004,212960.17299999998,213091.51600000006,215789.36000000002,210696.08300000004,212645.24500000002,214337.73100000003,218749.364,220597.12999999995,221956.818,230660.529,230582.57999999996,231916.01099999997,239270.99199999997,239610.556,222923.055,235801.82399999996,247407.97300000003,257385.90600000002
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|43---Comercio al por mayor<C1>,34660.062,36604.399,38088.356,39268.866,39015.073,38484.876,35764.678,35358.517,35499.257,38436.471,36135.113,34054.457,34698.939,34481.404,34968.846,35528.965,34401.661,31649.64,33884.665,35610.6,36327.55
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|46---Comercio al por menor<C1>,41923.081,43174.929,45423.499,47522.002,45926.443,47393.767,44389.695,45036.094,45137.1,46794.322,48730.536,49322.274,49679.088,50308.76,50010.912,52389.629,54390.902,49575.667,55039.629,57544.181,61998.331
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",15636.031,16079.922,16703.813,16467.376,16442.516,16848.988,16526.82,17532.442,17264.383,17241.692,17981.639,18169.477,18338.1,18773.056,16308.635,17761.85,17146.233,14031.751,17564.545,19602.236,19938.613
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|51---Información en medios masivos<C1>,494.211,540.016,596.837,667.343,787.789,849.155,887.719,925.763,975.221,1145.131,1237.174,1271.986,1428.914,1551.629,1731.201,1876.034,1939.131,1703.3,1781.572,1999.333,2259.607
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|52---Servicios financieros y de seguros<C1>,2209.015,2657.866,2567.339,3180.896,3145.456,3702.509,4223.035,4673.836,4920.6,5275.998,5914.885,6298.35,6814.216,7277.814,7915.555,8341.539,8686.468,8063.685,7981.2,8647.17,9251.659
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,27618.351,28313.86,28945.885,30145.321,31263.006,32457.406,33163.699,34410.857,35479.83,36250.722,36683.165,37388.505,38256.395,38927.974,39258.727,39790.389,40365.211,40575.023,42140.404,43324.233,43592.368
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",2663.977,3250.619,3423.095,3175.351,3397.784,3666.065,3302.107,3547.403,3460.543,3868.585,3667.23,3623.291,3636.601,3788.33,3393.89,3550.084,3787.716,3698.945,3795.215,4456.856,4707.929
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación<C1>",2772.248,3172.462,3457.141,3297.25,3303.055,3368.54,3187.961,2904.883,3116.7,3306.359,3504.032,3557.967,3547.521,3530.811,3731.656,3994.283,4080.124,3907.542,2821.12,1062.248,1125.481
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|61---Servicios educativos<C1>,21646.685,23335.656,24741.911,25424.68,25514.192,24721.437,24359.098,23561.99,22754.353,20986.548,20998.178,21408.079,24631.668,22975.705,24844.387,25234.343,25541.234,25369.588,25188.415,24978.557,25301.946
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,7846.338,8015.403,8133.936,8226.017,8279.371,7871.474,7953.717,7782.287,8055.97,8156.806,8387.596,8691.771,8382.045,8785.354,8829.881,8651.767,8406.173,8726.546,9664.528,8948.155,8487.221
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",429.337,430.169,419.806,414.184,432.579,449.955,442.534,454.176,446.299,455.466,456.411,450.27,460.251,467.515,478.43,487.011,485.074,284.486,375.574,523.431,551.382
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,9258.825,10039.337,9955.39,9073.645,9260.504,9581.007,9576.725,9530.923,9907.753,9687.949,10410.68,10477.608,11903.06,11334.335,11448.315,12088.553,12033.746,7120.562,7643.932,12624.695,15833.636
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,6146.091,6076.788,6787.299,6521.289,6799.793,6844.674,7172.489,7465.543,7559.309,7598.338,7560.142,7783.425,8163.73,7793.764,7885.397,8607.552,8697.203,7902.994,8054.403,8263.344,8682.477
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",19260.672,19333.84,19747.124,19575.953,19523.955,19549.507,19745.806,19460.531,19760.413,19544.977,18930.349,19459.358,20720.001,20586.129,21110.179,20968.993,19649.68,20313.326,19866.622,19822.934,19327.706
Variación porcentual anual en valores constantes|B.1bP---Producto interno bruto<C1>,NA,1.926544217832,1.900723114722,1.01216476209,-0.472566902979,2.654313933669,-0.728605412491,-1.47740801125,1.572846186137,0.147602910086,2.917781887769,-0.691497529837,1.604513123088,-0.407596325688,-10.388899080775,6.957200797611,-4.122563574975,-4.478461921624,9.833437303071,7.805719627179,7.54112624791
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos",NA,0.897156169568,3.886498113598,3.419720258817,0.854559794193,5.018436587271,-7.387896153812,-16.936911286515,-0.529543445605,-5.117448249983,0.884818024589,0.308344573801,6.089792275635,3.437558376698,-8.675915476897,5.633535115228,1.569247148734,-11.247707894653,8.169868092075,10.993612450287,3.098054710363
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,NA,1.980839742359,1.797095550074,0.88394785979,-0.54502095003,2.523429115061,-0.350955253137,-0.662606470123,1.665500325861,0.37462845488,3.000645563699,-0.731413972078,1.423572905003,-0.569849851438,-10.464094900258,7.016466972621,-4.374117005439,-4.160696332993,9.905754797677,7.669326628771,7.737090863583
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,NA,-4.444375210474,-6.53957128643,9.546829965788,0.167762853071,2.299070693536,5.369525330824,-1.461818600695,-3.415526170003,4.679753750653,4.537725363158,-3.999382318822,-1.22869617748,4.315853753266,-0.107905425622,6.024918187014,-0.181914668858,4.995756654741,3.846769944029,-1.830175019224,-1.671952208064
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",NA,-4.444375210474,-6.53957128643,9.546829965788,0.167762853071,2.299070693536,5.369525330824,-1.461818600695,-3.415526170003,4.679753750653,4.537725363158,-3.999382318822,-1.22869617748,4.315853753266,-0.107905425622,6.024918187014,-0.181914668858,4.995756654741,3.846769944029,-1.830175019224,-1.671952208064
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",NA,-6.188703891398,-6.790733395122,14.537699346032,-2.492609960798,3.578934310589,7.35169791063,-1.556924431344,-6.299996451777,4.088854721906,6.768140043617,-6.066672560109,-2.402875929636,7.596266896248,-2.595674944309,7.783804019841,-0.473707059071,6.465737098027,5.119315204515,-2.904378111725,-3.840258687067
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",NA,-1.40654394236,-1.273903625966,-1.480648093733,1.628927265719,1.26984578869,2.864148752072,4.169043443779,0.28146329017,5.012928207602,-3.273685148933,3.286256350923,0.136759408321,-1.813017564256,0.166172351785,2.00540610181,2.310840779841,2.656063502907,1.941184280434,0.609351265582,2.113701273674
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",NA,-4.555138945102,-5.344598595043,-19.133433638193,14.162224312742,-28.220364588579,25.731851984132,45.552399310135,-24.266925023175,-14.615066034697,75.250875774724,5.163940980017,24.210310845981,-9.316746789967,19.802278367966,-21.506769758854,-37.539824083839,-3.357466783356,-36.228424027881,2.091312018589,41.198454513523
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",NA,3.989125140628,-26.360360828026,5.944816669711,31.995070166949,-4.456285508394,-10.491510384191,-34.394244874174,38.414290498322,14.880179627291,6.321327626481,-11.922752669886,2.547499057218,-4.508011478974,32.512662951921,9.304303992239,-0.182924942763,-1.444094024479,0.447074848919,1.348267994192,6.176773839773
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,NA,-0.713314747519,-0.53137737833,-1.543227152975,-1.594950664579,4.595895017715,2.189986985337,-2.963790159925,3.610562841,-2.651592569041,6.268633417405,-2.405338078404,-2.185795047484,-2.008977194105,-30.411033507803,16.602160151206,-14.813218339413,1.305709223247,20.711418452666,14.849806603327,15.984770234037
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,NA,15.219861910063,49.717773671712,39.527168039565,-0.216439891238,6.267603123106,-10.972559831888,4.314826456275,13.075398487006,26.559970026967,27.138285470376,3.112098448554,14.120927236308,-3.524569984055,5.799305504765,-0.538606790744,-7.25564395436,-15.908065283407,14.141471870446,10.250885258979,12.503305130833
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,NA,15.219861910063,49.717773671712,39.527168039565,-0.216439891238,6.267603123106,-10.972559831888,4.314826456275,13.075398487006,26.559970026967,27.138285470376,3.112098448554,14.120927236308,-3.524569984055,5.799305504765,-0.538606790744,-7.25564395436,-15.908065283407,14.141471870446,10.250885258979,12.503305130833
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",NA,35.09975357786,8.376012809135,20.917876647142,6.066880340401,2.788846875026,6.506252931326,18.46540094626,2.30073027474,11.499026335829,-3.37272954148,18.280262949028,3.736766831818,1.322339636178,-4.078356826719,15.01955067772,-13.362883743679,6.514738578498,-11.745372835274,14.107683978113,-10.082425766365
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,NA,3.76461991099,-7.239231539736,-7.6037784866,3.461088397332,12.969508490733,10.438482942086,1.731065666345,6.416587209967,12.033123592501,-0.02299431066,1.376177568626,9.876764842487,-7.545215813887,-33.191050389271,21.251194533695,-13.482841688741,5.443577893967,30.251577560831,33.083658087876,46.116848519902
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,NA,-2.77090136036,0.744570755435,-1.127664764064,-3.132767283787,2.537759710863,-0.142166780199,-5.551356572975,2.639332227908,-8.989853038844,9.261479283951,-5.377546294719,-8.096213058311,0.476241510338,-32.697692796527,15.492688075855,-15.942125260059,-0.696668515046,20.81804081069,4.84762704324,-2.286930622904
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,NA,-2.032341073258,6.229630119886,-3.710544643214,1.243364423592,5.169860094916,3.536760610684,-5.129920114781,0.811123788791,-3.484307666273,10.745691465882,0.523927189719,-1.178390500116,4.547265958558,-11.385454574173,5.002230072331,-4.110331874747,1.09229929444,2.965251888245,5.337920791454,-0.285831535067
