Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,576613.1250000001,592032.2660000001,621212.0470000001,650292.566,674599.97,674193.135,624404.773,671261.179,707410.0279999999,747711.7849999998,735647.5009999999,747336.718,765649.97,781511.0650000001,835368.6570000001,849556.0030000001,856910.7270000002,767210.1159999999,794876.174,825802.782,851623.357
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",39699.846,39806.621,42605.988,43775.057,44519.077,45849.31,38507.643,38509.091,40079.402,41307.57,39575.288,39471.509,41220.264,41933.496,46069.334,45827.184,45966.425,38837.416,41768.057,44517.215,47487.383
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,536913.2790000001,552225.645,578606.0590000001,606517.509,630080.8929999999,628343.825,585897.13,632752.088,667330.6259999999,706404.2149999999,696072.213,707865.209,724429.706,739577.569,789299.3230000001,803728.8190000001,810944.3020000001,728372.7,753108.117,781285.567,804135.9739999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,22662.831,23876.390000000003,23785.416999999998,24970.806,26092.038,26292.938,24804.126,25638.325,24219.269999999997,27170.603,27024.52,26876.787,29235.406000000003,28997.512,29221.803,29959.675,29743.716,30486.404,31059.028000000002,29632.369000000002,30807.006
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",22662.831,23876.390000000003,23785.416999999998,24970.806,26092.038,26292.938,24804.126,25638.325,24219.269999999997,27170.603,27024.52,26876.787,29235.406000000003,28997.512,29221.803,29959.675,29743.716,30486.404,31059.028000000002,29632.369000000002,30807.006
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",10721.203,11677.772,11342.431,11931.597,12604.658,12953.174,11058.028,11973.82,10668.067,13000.836,12930.512,12361.554,14682.976,14608.259,14894.994,15674.991,15492.493,16048.969,16813.845,15243.491,16005.27
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",11378.188,11497.452,11867.548,12498.595,12872.865,12833.362,13188.11,13111.999,12980.319,13604.16,13561.278,13991.782,13952.178,13780.934,13763.487,13682.977,13642.068,13817.221,13614.717,13751.763,14132.21
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",563.44,701.166,575.438,540.614,614.515,506.402,557.988,552.506,570.884,565.607,532.73,523.451,600.252,608.319,563.322,601.707,609.155,620.214,630.466,637.115,669.526
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,178779.071,183840.90300000002,206517.25900000002,217439.819,228997.07899999997,225071.21800000002,195888.535,221359.288,236790.397,258129.14399999997,240138.577,248409.91999999998,259465.014,265296.809,304258.11100000003,302100.515,310163.80299999996,261476.247,268776.141,283593.91099999996,289582.576
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,3735.8529999999996,4982.039000000001,5175.5380000000005,6103.098,5162.2,5605.456,6101.892,6829.235,10161.515,12644.037,13313.64,10023.056,9345.761,9079.719000000001,8003.043,6455.004999999999,6280.491,5373.956,5015.436,5004.838,4710.528
