Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,196536.479,213011.74999999997,220251.865,234332.55699999997,253901.25100000002,266797.067,243054.262,255104.161,268258.78,280380.539,289182.389,300005.938,318607.819,339733.43700000003,357116.77099999995,377340.667,376757.26800000004,292733.43200000003,332542.12499999994,356727.573,406186.43500000006
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",15390.909,16393.52,16220.436,17225.943,19103.07,20908.341,18386.223,18479.007,18879.891,19597.059,19725.652,20436.04,22674.858,24769.341,25837.29,26558.174,26157.666,17289.217,22550.361,26037.801,24924.78
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,181145.57,196618.22999999998,204031.429,217106.61399999997,234798.181,245888.72599999997,224668.039,236625.15399999998,249378.88900000005,260783.47999999998,269456.737,279569.89800000004,295932.961,314964.096,331279.48099999997,350782.493,350599.602,275444.215,309991.76399999997,330689.772,381261.655
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,2193.7169999999996,2227.5899999999997,2407.5220000000004,2720.438,2206.367,1917.629,2234.8759999999997,2766.973,2842.105,2725.387,2697.7100000000005,2503.062,2525.8950000000004,2508.744,2733.6159999999995,3349.049,2744.3149999999996,2561.076,3572.758,3540.6479999999997,3293.9610000000002
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",2193.7169999999996,2227.5899999999997,2407.5220000000004,2720.438,2206.367,1917.629,2234.8759999999997,2766.973,2842.105,2725.387,2697.7100000000005,2503.062,2525.8950000000004,2508.744,2733.6159999999995,3349.049,2744.3149999999996,2561.076,3572.758,3540.6479999999997,3293.9610000000002
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",1364.292,1387.544,1591.4,1955.566,1438.017,1245.558,1426.032,1928.787,2053.667,1987.188,2037.963,1808.861,1815.558,1834.903,2066.988,2610.884,2017.471,1886.569,2845.964,2829.955,2542.954
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",574.484,614.531,587.95,540.863,596.815,557.866,569.818,561.224,548.715,507.496,412.828,471.884,493.889,420.951,443.011,503.757,502.846,468.162,503.053,499.299,492.302
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",65.902,64.5,59.498,66.451,67.45,64.365,79.961,83.563,91.502,73.165,74.61,75.339,82.664,78.779,72.225,69.833,63.604,49.202,62.228,46.29,88.015
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",189.039,161.015,168.674,157.558,104.085,49.84,159.065,193.399,148.221,157.538,172.309,146.978,133.784,174.111,151.392,164.575,160.394,157.143,161.513,165.104,170.69
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,25716.299999999996,29172.745,34410.112,36748.494,34995.106,36847.727000000006,33976.508,29313.057,31327.715,29757.903,33971.478,38344.86,37836.784999999996,40124.998999999996,37812.315,40207.635,42461.261,33450.933,28661.977,31607.254,88493.141
