Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,361413.51800000004,384867.51699999993,403091.74100000004,427146.948,451359.31899999996,451687.48500000004,430538.218,470414.969,509818.25800000003,526760.6460000001,522047.708,542149.1919999999,574578.187,576734.826,591415.259,611367.7499999999,609108.252,553613.926,578175.108,589221.2370000001,613730.685
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",25828.426,27615.668,28819.193,30231.371,31411.562,31451.66,27262.796,29171.745,31708.12,31655.623,30856.948,32265.887,34852.722,35028.018,35023.86,36676.372,36828.833,32344.958,35745.267,37097.908,39490.533
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,335585.09200000006,357251.84899999993,374272.548,396915.577,419947.757,420235.82500000007,403275.422,441243.224,478110.13800000004,495105.02300000004,491190.76,509883.30499999993,539725.4650000001,541706.808,556391.399,574691.3779999999,572279.419,521268.968,542429.841,552123.329,574240.152
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,8921.711,8699.518,7656.9710000000005,8166.7919999999995,9162.720000000001,8860.628,8687.208,9592.883,8930.177,10262.497000000001,10491.57,11332.739,12082.715,11860.577000000001,13055.991,13132.114000000001,12928.489,13401.962000000001,13247.209,13147.378999999999,13475.767000000002
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",8921.711,8699.518,7656.9710000000005,8166.7919999999995,9162.720000000001,8860.628,8687.208,9592.883,8930.177,10262.497000000001,10491.57,11332.739,12082.715,11860.577000000001,13055.991,13132.114000000001,12928.489,13401.962000000001,13247.209,13147.378999999999,13475.767000000002
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",2245.951,2291.183,1544.643,1935.473,2602.951,2551.003,2265.529,2959.505,2279.82,2752.331,2910.548,3237.947,3657.627,3295.496,3501.893,3698.137,3477.131,3707.804,3439.874,3362.298,3576.717
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",6597.916,6332.015,6053.683,6162.467,6465.613,6235.91,6358.242,6529.541,6577.346,7389.957,7487.176,8007.885,8336.378,8496.008,9442.716,9362.352,9377.905,9623.325,9729.342,9721.23,9826.145
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",77.844,76.32,58.645,68.852,94.156,73.715,63.437,103.837,73.011,120.209,93.846,86.907,88.71,69.073,111.382,71.625,73.453,70.833,77.993,63.851,72.905
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,165927.86400000003,178061.65899999996,186700.33500000002,196601.04200000002,205417.904,197498.619,187710.60600000003,209045.11199999996,228261.371,235409.41600000006,224421.57299999997,233786.129,249880.89300000004,245421.13799999998,253440.914,260411.981,258578.96500000003,225778.88500000004,237997.56100000002,243894.167,251214.287
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,2957.618,3359.706,3288.636,2753.213,2961.396,2769.085,2793.887,2642.38,2893.967,2929.977,3350.871,3402.516,3222.346,3700.892,3801.527,3940.128,3750.324,3763.073,3440.555,3566.48,3898.115
