Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,371316.275,396222.8439999999,393983.56700000004,411251.1,431732.231,452116.58099999995,437071.05600000004,441733.30999999994,452498.76000000007,466781.777,465716.02,465691.046,485181.1930000001,507491.75700000004,518703.28599999996,527714.0609999999,522342.46699999995,484352.671,507429.021,516319.269,517548.27199999994
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",20860.867,21107.981,21921.52,22931.981,22793.378,24445.982,21936.726,20429.353,19976.563,20117.21,19428.936,19363.48,20491.439,21110.145,21337.917,22007.773,22008.929,19179.128,21706.15,22448.278,22510.678
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,350455.408,375114.86299999995,372062.047,388319.11899999995,408938.853,427670.59899999993,415134.33,421303.95699999994,432522.19700000004,446664.567,446287.08400000003,446327.566,464689.7540000001,486381.612,497365.36899999995,505706.2879999999,500333.53799999994,465173.54299999995,485722.871,493870.991,495037.5939999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,35722.873999999996,42554.907999999996,39966.87500000001,45827.582,49537.61699999999,49017.722,45582.724,40655.119,38434.784,45511.565,45260.344999999994,44577.948000000004,51915.537,55519.158,53897.929000000004,55995.981,58366.189999999995,55284.623,54219.092,55164.852,48514.97900000001
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",35722.873999999996,42554.907999999996,39966.87500000001,45827.582,49537.61699999999,49017.722,45582.724,40655.119,38434.784,45511.565,45260.344999999994,44577.948000000004,51915.537,55519.158,53897.929000000004,55995.981,58366.189999999995,55284.623,54219.092,55164.852,48514.97900000001
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",27912.598,34023.909,30904.995,37053.78,39630.933,39209.732,35934.113,30958.6,28253.186,34788.651,35394.418,34702.889,40967.645,44792.851,43470.652,44867.827,47216.385,44051.97,43312.734,43432.816,36258.932
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",6152.936,6551.23,6718.089,6861.989,7245.134,7376.75,7584.648,7712.396,7953.983,8584.898,7271.599,7461.872,7739.467,7516.887,7825.711,8467.976,8535.232,8813.687,8513.324,9118.996,9342.311
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",1152.975,1266.966,1656.792,1408.693,2087.287,1812.734,1482.165,1367.014,1732.462,1600.589,2086.791,1873.795,2550.659,2465.091,1866.021,1934.187,1826.21,1696.774,1712.364,1916.122,2149.936
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",504.365,712.803,686.999,503.12,574.263,618.506,581.798,617.109,495.153,537.427,507.537,539.392,657.766,744.329,735.545,725.991,788.363,722.192,680.67,696.918,763.8
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,71617.986,84249.238,75905.519,77827.973,91656.554,102836.177,100264.857,103739.057,104264.507,94286.585,89338.692,86148.88500000001,88612.318,95862.683,98059.743,104511.65699999999,96679.401,90185.718,91526.10399999999,94612.09,94665.40299999999
