Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,321098.785,352876.293,366859.43499999994,377360.11,382599.136,396936.76300000004,372395.45000000007,393802.13,416107.847,437595.484,450257.199,460034.17600000004,480024.605,505856.104,540243.6640000001,557795.952,534391.9199999999,500250.92500000005,516190.9840000001,532793.15,575114.474
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",18339.477,19627.514,20417.042,21040.314,20563.061,22257.789,19397.324,19358.01,20993.044,21559.163,21895.669,22638.184,23998.067,26002.034,28305.648,28619.44,27119.122,24414.24,25491.661,26466.096,30483.279
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,302759.30799999996,333248.779,346442.3929999999,356319.796,362036.075,374678.97400000005,352998.12600000005,374444.12,395114.803,416036.321,428361.53,437395.992,456026.538,479854.07,511938.01600000006,529176.5120000001,507272.79799999995,475836.68500000006,490699.3230000001,506327.05400000006,544631.1950000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,12922.574999999999,13295.740000000002,13825.103000000001,13704.279999999999,13989.282,14633.634,13458.341,14504.363,12667.914999999999,13923.512,16348.394,18091.385,18340.398,19218.235,20469.638,22093.379999999997,21508.801,22507.072,25228.174,24873.754999999997,23956.806
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",12922.574999999999,13295.740000000002,13825.103000000001,13704.279999999999,13989.282,14633.634,13458.341,14504.363,12667.914999999999,13923.512,16348.394,18091.385,18340.398,19218.235,20469.638,22093.379999999997,21508.801,22507.072,25228.174,24873.754999999997,23956.806
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",9108.159,8695.378,8658.369,8074.808,8860.625,9698.367,8778.967,9721.891,7958.833,8352.137,10303.804,12017.869,11943.503,12430.37,12769.775,13539.73,12440.892,12851.466,15343.118,14957.054,13909.952
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",3657.883,4385.885,4925.085,5443.628,4963.911,4701.887,4378.037,4484.419,4418.518,5331.436,5757.474,5755.377,6151.838,6506.448,7491.514,8280.711,8826.954,9346.778,9552.403,9608.065,9758.785
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",156.533,214.477,241.649,185.844,164.746,233.38,301.337,298.053,290.564,239.939,287.116,318.139,245.057,281.417,208.349,272.939,240.955,308.828,332.653,308.636,288.069
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,118069.35,141278.451,148653.28399999999,149776.349,149027.603,157780.804,148648.592,156817.72599999997,171588.077,187912.901,190790.932,194219.507,207141.777,226992.005,251927.49500000002,259779.79100000003,238938.372,219941.205,221863.99400000006,236133.98700000002,269001.897
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,12667.795999999998,13281.29,13311.391,13549.483,13908.961000000001,16843.907,16248.131,15233.63,14389.116,15676.743,17485.124,13876.407,11554.921,13007.375,12709.247,12786.329,12683.628999999999,12427.958,13015.139,13149.377,13194.993
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,191.514,228.306,162.57,158.938,184.156,115.805,175.241,185.739,150.17,165.991,130.469,113.81,120.09,84.993,71.366,66.126,65.739,57.172,52.249,53.379,52.813
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,12476.282,13052.984,13148.821,13390.545,13724.805,16728.102,16072.89,15047.891,14238.946,15510.752,17354.655,13762.597,11434.831,12922.382,12637.881,12720.203,12617.89,12370.786,12962.89,13095.998,13142.18
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",5405.114,7415.267,7758.114,7843.979,10296.304,11258.025,10925.278,11586.591,12168.852,12558.078,11731.097,11594.701,12726.045,13887.285,14709.166,16066.803,15054.831,12249.132,10673.425,12871.087,13300.571
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,16646.504,17216.086,21219.283,24771.777,21764.821,25589.833,26310.235,22771.258,23875.101,24867.075,30146.258,29259.098,35820.896,35540.694,38935.987,38690.239,28876.893,22894.347,23221.753,24998.502,25466.308
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,83349.936,103365.808,106364.496,103611.11,103057.517,104089.039,95164.948,107226.24699999997,121155.008,134811.005,131428.453,139489.301,147039.915,164556.65099999998,185573.09500000003,192236.42,182323.019,172369.76799999998,174953.67700000005,185115.02100000004,217040.025
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,16994.726,19062.573,19433.801,19336.485,19114.164,19880.652,19413.099,20357.373,22005.181,22247.475,22483.619,24421.774,24131.941,24951.736,24775.604,26166.651,27504.333,27695.62,28327.64,29479.198,30817.7
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1255.491,1296.714,1264.822,1144.755,1144.493,1194.491,1143.406,1178.795,1327.473,1310.694,1352.479,1531.741,1835.856,1777.058,1919.569,2043.882,2084.615,2072.248,2114.807,2192.379,2258.051
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",1708.068,1815.859,1818.5569999999998,1979.084,1897.5130000000001,1870.9319999999998,1727.573,1813.091,1869.112,2029.2379999999998,2068.41,1988.4189999999999,1938.52,1814.317,1652.79,1654.973,1613.141,1554.786,1557.272,1565.071,1471.115
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",1068.181,1207.819,1156.431,1153.4940000000001,978.2360000000001,952.529,727.256,861.348,898.729,972.8919999999999,967.2059999999999,1088.657,1075.838,1045.981,1052.284,1087.475,1183.504,961.058,948.615,894.746,1005.437
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,403.134,416.576,399.722,395.009,433.43,437.863,414.095,488.809,479.857,535.276,502.941,427.804,433.659,438.223,441.071,454.779,471.465,453.005,472.894,478.12,532.713
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,2317.31,2293.372,2336.901,2662.807,2877.367,2675.3639999999996,2440.5299999999997,2587.9449999999997,2569.1639999999998,2462.178,2388.468,2673.433,2912.706,3601.913,4087.0789999999997,4344.0470000000005,4429.018,4156.215,4864.1,5258.399,5352.083
