Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,510814.14800000004,533388.519,559241.969,605738.979,614338.181,623269.5419999999,574217.794,595753.065,648753.4850000001,681378.519,709513.5299999999,721989.413,760030.9560000001,792034.337,784601.3969999999,782097.7390000001,783103.494,731237.9680000001,760930.124,790043.7039999999,829550.0160000001
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",31632.23,32941.746,34800.515,40807.841,40342.392,43439.384,36318.214,36694.573,37709.364,37704.477,38279.231,38723.266,40997.228,40720.016,38903.369,38535.229,38636.242,32205.172,37893.787,42936.163,47762.469
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,479181.91800000006,500446.773,524441.454,564931.138,573995.789,579830.1579999999,537899.58,559058.492,611044.121,643674.042,671234.2989999999,683266.1469999999,719033.7280000001,751314.321,745698.0279999999,743562.51,744467.252,699032.7960000001,723036.3369999999,747107.541,781787.547
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,31679.284,29355.468999999997,33119.270000000004,30835.479,35456.173,36718.606,36486.071,37762.892,36716.831,41082.772999999994,39026.822,38548.011000000006,42530.26400000001,44678.203,48933.952,50921.477,52368.94499999999,53089.504,51913.115,54132.415,52731.494999999995
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",31679.284,29355.468999999997,33119.270000000004,30835.479,35456.173,36718.606,36486.071,37762.892,36716.831,41082.772999999994,39026.822,38548.011000000006,42530.26400000001,44678.203,48933.952,50921.477,52368.94499999999,53089.504,51913.115,54132.415,52731.494999999995
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",19859.087,17073.839,21422.162,19275.247,23755.476,24338.423,23265.794,25793.611,24499.65,29277.953,27910.449,27457.4,30574.47,33064.661,36514.956,38332.574,39124.407,39315.046,38072.928,39844.451,38109.437
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",10547.711,10970.604,10711.139,10557.802,10748.891,11109.485,11665.547,10787.116,10824.347,10580.232,9861.767,9577.156,10262.27,10043.246,10809.795,11113.342,11846.032,12401.034,12324.85,12852.472,13020.291
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",1098.061,1077.587,783.855,790.525,694.682,1043.349,1277.925,919.045,1019.185,868.543,934.278,1169.92,1377.874,1224.225,1306.792,1123.099,1037.628,1068.541,1153.744,1120.721,1255.287
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",174.425,233.439,202.114,211.905,257.124,227.349,276.805,263.12,373.649,356.045,320.328,343.535,315.65,346.071,302.409,352.462,360.878,304.883,361.593,314.771,346.48
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,211372.948,226932.271,240799.85,273487.48,272624.48,274274.408,241941.778,245708.10100000002,285604.328,300192.922,315493.55,322465.843,345557.85000000003,365599.694,358025.189,348346.556,349386.631,326662.55500000005,337697.429,356716.713,379227.833
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,35269.368,39584.567,43196.281,37934.454,42364.661,34762.491,32401.736,35727.236,51902.345,59638.699,64734.609,62637.251,76020.978,88980.034,87517.259,84590.143,86409.723,81313.889,82985.025,83495.523,79919.602
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,35269.368,39584.567,43196.281,37934.454,42364.661,34762.491,32401.736,35727.236,51902.345,59638.699,64734.609,62637.251,76020.978,88980.034,87517.259,84590.143,86409.723,81313.889,82985.025,83495.523,79919.602
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",10620.146,12431.22,13213.072,15556.213,16944.262,16866.17,16278.621,16435.372,18175.008,19051.317,19149.784,18452.415,19336.18,21242.342,23368.506,24036.769,23059.381,26958.952,20837.356,20397.078,19391.885
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,27616.934,31908.344,31226.796,34719.311,36062.548,37240.103,34391.278,30968.474,33384.058,34029.286,34325.137,36312.44,34564.131,40157.658,44880.301,45056.789,39337.99,34299.147,35948.824,38859.466,50879.665
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,137866.5,143008.14,153163.701,185277.502,177253.009,185405.644,158870.14299999998,162577.01900000003,182142.917,187473.62,197284.02,205063.737,215636.56100000005,215219.66000000003,202259.123,194662.855,200579.537,184090.567,197926.22400000005,213964.64600000004,229036.68099999998
