Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,396077.777,410827.40100000007,443012.195,478124.99700000003,490366.571,510292.455,523308.94399999996,548305.605,569065.838,595176.484,597199.6610000001,594889.244,553280.0819999999,532828.9210000001,502350.996,471565.25,445870.99799999996,464760.608,545415.7609999999,637775.2270000001,653095.6410000001
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",13365.23,13567.662,14131.93,14922.035,14172.936,15302.618,13858.419,13061.279,13104.517,13175.513,13056.533,13045.39,14949.35,14423.025,14025.975,13636.656,13337.313,11361.862,14656.409,15895.032,15591.409
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,382712.547,397259.73900000006,428880.265,463202.96200000006,476193.635,494989.837,509450.52499999997,535244.326,555961.321,582000.971,584143.128,581843.8539999999,538330.732,518405.89600000007,488325.021,457928.594,432533.68499999994,453398.746,530759.352,621880.1950000001,637504.2320000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,9804.945000000002,10999.628999999999,9919.448999999999,10501.949999999997,9455.782,9350.635999999999,9190.879,9218.611,8824.593,9818.916000000001,9400.853000000001,9208.828000000001,9397.288999999999,9391.307999999999,10012.418999999998,10175.321,9808.839,9994.34,10272.642,10175.933,10084.309000000001
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",9804.945000000002,10999.628999999999,9919.448999999999,10501.949999999997,9455.782,9350.635999999999,9190.879,9218.611,8824.593,9818.916000000001,9400.853000000001,9208.828000000001,9397.288999999999,9391.307999999999,10012.418999999998,10175.321,9808.839,9994.34,10272.642,10175.933,10084.309000000001
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",5367.319,6238.689,5089.326,5614.132,4795.169,4647.76,4480.742,4559.659,4033.38,4949.562,4875.466,4825.816,4993.797,5083.496,5440.016,5579.83,5275.977,5332.682,5513.606,5439.389,5155.575
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",4084.248,4237.669,4464.602,4512.949,4273.834,4254.167,4357.551,4313.72,4466.327,4589.337,4214.039,4051.737,4072.943,3968.423,3999.221,3993.931,4036.202,4185.554,4288.733,4268.147,4400.006
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",314.857,252.541,268.445,247.122,267.238,233.936,187.205,206.389,225.373,211.38,241.104,194.54,265.91,278.193,274.871,234.828,128.542,120.784,114.285,99.867,154.537
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",38.521,270.73,97.076,127.747,119.541,214.773,165.381,138.843,99.513,68.637,70.244,136.735,64.639,61.196,298.311,366.732,368.118,355.32,356.018,368.53,374.191
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,221632.296,229649.65200000003,255502.35100000002,282955.347,293669.545,308177.831,331081.87299999996,347778.33499999996,361215.74799999996,377834.265,372470.27,367268.26599999995,318939.119,304153.971,277623.895,245167.828,219272.685,251676.787,317768.3819999999,403381.212,412171.794
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,160120.87300000002,169038.47100000002,187628.288,210956.37300000002,228178.826,235995.53399999999,259481.856,276638.31,284261.044,297757.802,294870.234,286695.773,245500.547,235757.937,216298.486,187670.965,165401.061,192042.776,214546.20599999998,276723.031,316626.491
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,157639.741,166908.567,185146.339,208382.328,225769.804,233494.199,256768.104,273962.453,281310.336,294586.733,291996.857,283595.256,242218.213,232765.682,213890.324,185538.673,163569.783,189573.538,209264.292,270143.118,311545.418
