Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,582321.1939999999,609099.706,638372.4489999999,657147.376,670947.628,686326.3640000001,630178.7490000001,642628.688,647447.553,676616.0069999999,680107.018,687652.5519999999,712997.104,709959.659,709149.522,732093.5839999998,752813.525,691399.9750000001,725029.605,748872.57,749222.919
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",30372.242,31898.121,33474.451,35611.829,35683.515,37900.781,32116.951,30947.807,30614.859,31793.539,30863.552,32676.73,35243.95,35863.915,36439.027,37962.663,39683.292,35533.03,38673.743,40012.392,40653.291
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,551948.9519999999,577201.585,604897.9979999999,621535.547,635264.113,648425.5830000001,598061.7980000001,611680.8809999999,616832.6939999999,644822.4679999999,649243.466,654975.8219999999,677753.1540000001,674095.744,672710.495,694130.9209999999,713130.233,655866.9450000001,686355.862,708860.178,708569.628
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,19990.382,21962.251000000004,20120.417999999998,20271.784,22297.35,22440.503999999997,22319.533000000003,23214.847999999998,20906.459,21688.927,21053.244000000002,24005.262,21799.685000000005,22668.113999999998,21266.98,19248.27,18342.819,17723.828,16373.828000000001,19171.165,16997.423000000003
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",19990.382,21962.251000000004,20120.417999999998,20271.784,22297.35,22440.503999999997,22319.533000000003,23214.847999999998,20906.459,21688.927,21053.244000000002,24005.262,21799.685000000005,22668.113999999998,21266.98,19248.27,18342.819,17723.828,16373.828000000001,19171.165,16997.423000000003
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",14767.023,16379.356,14592.422,14689.53,16819.42,15879.321,16507.647,17527.173,14708.535,16303.52,15913.637,18893.336,16756.473,18441.568,16745.219,15232.972,14367.289,13643.043,12308.048,15109.215,12869.955
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",3900.456,4360.328,3959.805,4032.841,4029.043,3956.678,4060.038,4052.904,4006.689,3528.996,3186.542,3200.768,2926.18,2401.957,2393.851,2222.153,2250.624,2345.978,2386.275,2406.559,2463.753
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",488.237,471.79,697.301,424.606,507.09,468.243,461.472,587.281,409.804,429.611,312.917,365.197,562.026,683.023,566.957,619.687,571.001,482.123,493.807,345.654,381.941
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",834.666,750.777,870.89,1124.807,941.797,2136.262,1290.376,1047.49,1781.431,1426.8,1640.148,1545.961,1555.006,1141.566,1560.953,1173.458,1153.905,1252.684,1185.698,1309.737,1281.774
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,250021.51799999998,265519.735,285810.373,292300.321,300585.44700000004,311467.50200000004,280927.012,282029.22699999996,272897.31999999995,289562.415,286076.067,286200.67000000004,299165.611,286562.751,279144.12100000004,297841.56899999996,316539.706,282727.31,296804.451,304122.58,293845.50099999993
