Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,111662.69799999999,116474.385,111972.309,117236.12100000001,118240.101,119841.564,114299.182,121829.162,125891.35100000002,128974.59799999998,128120.564,130495.95900000002,137053.7,139167.799,143920.437,147752.939,147876.82,135083.245,143213.33000000005,146641.59900000002,148529.162
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",7818.664,8550.395,7820.162,8335.984,7924.688,8215.366,7332.034,7299.442,7390.956,7214.412,7109.338,7779.797,8608.912,8752.573,9011.919,9281.119,9244.035,8258.156,8874.21,9012.16,9403.716
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,103844.03399999999,107923.98999999999,104152.147,108900.13700000002,110315.413,111626.198,106967.148,114529.72,118500.39500000002,121760.18599999999,121011.226,122716.16200000001,128444.788,130415.226,134908.518,138471.82,138632.785,126825.089,134339.12000000005,137629.439,139125.446
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,4178.884,3588.52,3880.6569999999997,4120.244,3850.876,4483.2519999999995,4096.447,4586.74,2986.4120000000003,4493.709,4072.414,4192.965999999999,4302.812,4188.035,4116.565,4151.021,4300.915999999999,3935.6949999999997,4244.7119999999995,4388.991,4253.679
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",4178.884,3588.52,3880.6569999999997,4120.244,3850.876,4483.2519999999995,4096.447,4586.74,2986.4120000000003,4493.709,4072.414,4192.965999999999,4302.812,4188.035,4116.565,4151.021,4300.915999999999,3935.6949999999997,4244.7119999999995,4388.991,4253.679
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",2624.628,2016.377,2404.765,2564.296,2259.905,2762.221,2346.003,2759.999,1291.626,2861.894,2479.971,2610.682,2772.257,2737.859,2672.018,2755.815,2932.937,2600.19,2903.614,3038.87,2862.071
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",1456.563,1475.387,1370.466,1444.848,1492.188,1584.064,1640.583,1674.388,1555.122,1492.895,1427.401,1419.679,1412.521,1281.176,1269.024,1242.75,1213.471,1186.849,1184.955,1192.082,1217.48
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",97.693,96.756,105.426,111.1,98.783,136.967,109.861,152.353,139.664,138.92,165.042,162.605,118.034,169,175.523,152.456,154.508,148.656,156.143,158.039,174.128
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,37180.373,40544.585999999996,35576.229,36278.372,37566.009999999995,35637.911,34232.565,37790.224,39813.614,41176.461,39267.349,40735.189000000006,44881.448000000004,45940.780000000006,49779.502,51580.817,51195.623999999996,45041.07000000001,48658.115000000005,50451.742000000006,50577.984000000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,356.125,418.423,392.075,405.635,462.367,436.341,403.47,431.679,408.826,600.886,458.53,418.148,218.886,298.848,387.575,417.329,453.859,439.931,457.424,663.128,596.236
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,356.125,418.423,392.075,405.635,462.367,436.341,403.47,431.679,408.826,600.886,458.53,418.148,218.886,298.848,387.575,417.329,453.859,439.931,457.424,663.128,596.236
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",764.788,1011.413,1125.445,1372.675,1474.627,1479.777,1448.459,1612.708,1642.602,1624.555,1672.032,1827.492,1881.066,1977.095,1999.088,1840.105,1688.508,1654.08,1342.811,1484.641,1445.173
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,7084.892,8257.677,5881.254,3529.575,4729.94,4331.676,4805.284,5469.147,4417.273,4586.728,3776.901,4399.864,6617.534,5237.961,4783.551,5423.769,6222.772,4588.887,4739.449,5208.441,5405.711
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,28974.568,30857.073,28177.454999999998,30970.487000000005,30899.075999999997,29390.117000000002,27575.352000000003,30276.690000000002,33344.913,34364.292,33359.886,34089.685000000005,36163.962,38426.876000000004,42609.288,43899.614,42830.48499999999,38358.172000000006,42118.431000000004,43095.53200000001,43130.864
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,6592.556,7158.895,6988.78,7615.491,7703.181,7447.046,7312.496,7677.817,8215.498,8414.264,7969.978,6914.154,6590.421,7160.99,7461.308,7870.86,8132.94,8092.093,8205.847,8710.381,8941.724
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,875.97,1331.862,819.396,922.608,803.843,980.421,897.923,888.226,762.404,556.35,524.254,1391.956,2052.612,2177.556,2194.948,2087.142,2088.553,2066.549,2107.671,2158.282,2264.351
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",2756.839,2362.911,2062.977,1898.527,1765.9099999999999,1683.5169999999998,1273.49,1520.5320000000002,1592.308,1635.156,2096.228,2192.143,2314.382,2484.7580000000003,2447.931,2611.964,2474.873,2017.084,2508.83,2502.163,2479.637
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",1286.312,1386.433,1450.1100000000001,1480.7469999999998,1346.617,1417.218,1562.94,1789.662,1954.119,1916.3970000000002,1687.295,1599.228,1614.5600000000002,1535.5,1540.7440000000001,1571.019,1566.568,1274.327,1319.184,1065.617,985.493
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,228.593,235.548,228.536,233.591,253.533,238.618,230.682,222.93,226.765,244.877,253.454,265.205,274.209,306.861,292.97,320.134,345.663,324.546,338.823,358.051,340.324
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,1335.536,1401.682,1528.2420000000002,1865.467,2103.304,2198.629,2290.883,2413.396,2659.621,2505.7870000000003,2980.699,3295.478,2961.085,2562.5969999999998,2562.078,2395.627,2422.313,2351.262,2295.215,2075.705,2101.183
