Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,891802.541,931125.8240000001,940665.082,992039.256,1024390.9169999999,1013361.5170000001,996543.788,1029013.319,1047541.9890000002,1084722.594,1074459.351,1074852.021,1082921.8369999998,1059514.085,1032743.7179999999,1029905.4,1053328.0019999999,971252.079,1027896.032,1041978.0859999999,1069284.605
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",47622.878,48096.422,47816.832,49410.412,48787.378,51354.722,46318.479,44313.403,43581.888,43155.784,41260.014,43597.426,46059.16,45607.444,44549.284,44559.356,45914.231,40640.795,44852.927,46531.061,47911.648
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,844179.663,883029.4020000001,892848.25,942628.844,975603.5389999999,962006.7950000002,950225.3089999999,984699.916,1003960.1010000001,1041566.81,1033199.337,1031254.595,1036862.6769999999,1013906.6410000001,988194.4339999999,985346.044,1007413.771,930611.284,983043.105,995447.0249999999,1021372.9569999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,53792.107,52165.584,48410.198000000004,51140.009999999995,52166.259999999995,52048.374,53284.435,52761.944,53057.241,54480.252,57099.44699999999,54888.259,57453.114,55380.073,57082.596,58861.134000000005,59348.776,61899.55,64367.712999999996,64016.785,63724.553
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",53792.107,52165.584,48410.198000000004,51140.009999999995,52166.259999999995,52048.374,53284.435,52761.944,53057.241,54480.252,57099.44699999999,54888.259,57453.114,55380.073,57082.596,58861.134000000005,59348.776,61899.55,64367.712999999996,64016.785,63724.553
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",29952.362,31129.062,27527.343,30236.811,31261.673,31454.514,31396.87,30548.514,29776.268,31807.508,35266.736,32752.829,34094.853,33339.738,34514.426,35938.716,36300.721,37980.319,39632.606,38567.322,37132.998
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",19684.396,18867.042,19296.835,19794.761,19709.245,19700.597,20315.288,21118.401,21294.619,21368.215,20426.827,20344.658,20574.941,20250.786,21108.35,21487.982,21992.899,22844.606,23574.601,24275.289,25309.98
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",636.905,576.653,575.307,577.399,577.397,428.296,419.618,437.985,395.917,436.085,434.113,398.257,597.836,695.492,732.188,669.292,288.794,331.908,383.811,402.371,478.901
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",3518.444,1592.827,1010.713,531.039,617.945,464.967,1152.659,657.044,1590.437,868.444,971.771,1392.515,2185.484,1094.057,727.632,765.144,766.362,742.717,776.695,771.803,802.674
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,288592.537,312354.341,317146.87399999995,337585.59300000005,360602.372,344101.233,352362.87899999996,357733.36199999996,356779.048,378458.787,378509.711,368151.564,357605.06299999997,338910.353,305653.38,300471.09200000006,314422.534,278639.157,296621.725,290542.722,301283.817
