Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,237526.365,246929.63999999996,258320.60000000003,270589.952,276668.9440000001,280991.471,272887.758,283033.049,289260.51399999997,299649.18200000003,302445.46299999993,312685.72099999996,322098.079,336107.72800000006,349598.9770000001,364797.901,365825.755,333528.19999999995,358659.83599999995,369043.2679999999,389502.13700000005
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",13242.664,13705.423,14441.89,15055.171,15074.227,15661.327,13880.705,13494.887,13800.973,13605.085,13049.773,13589.206,14273.947,14839.84,15821.362,17498.246,17672.578,15421.255,17302.289,18282.822,19382.18
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,224283.701,233224.21699999995,243878.71000000002,255534.781,261594.71700000006,265330.14400000003,259007.05299999999,269538.162,275459.54099999997,286044.097,289395.68999999994,299096.51499999996,307824.13200000004,321267.88800000004,333777.61500000005,347299.655,348153.177,318106.94499999995,341357.54699999996,350760.44599999994,370119.95700000005
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,8086.967,9162.505000000001,8580.829,9213.07,8941.001,8769.394999999999,8860.434,9535.814999999999,9565.446999999998,9733.234,9466.535999999998,9725.272,9904.131000000001,9942.904999999999,9891.352,10497.353000000001,10629.347,10672.164,11636.903999999999,11844.603,12033.374
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",8086.967,9162.505000000001,8580.829,9213.07,8941.001,8769.394999999999,8860.434,9535.814999999999,9565.446999999998,9733.234,9466.535999999998,9725.272,9904.131000000001,9942.904999999999,9891.352,10497.353000000001,10629.347,10672.164,11636.903999999999,11844.603,12033.374
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",1422.191,1959.429,1872.926,2032.38,2020.902,1877.898,1539.197,2012.761,2055.487,2012.683,1952.945,1869.794,1783.183,1691.366,1840.365,1864.683,2002.859,1963.908,2264.002,2411.632,2533.377
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",6263.412,6708.105,6341.155,6641.195,6443.535,6515.983,6652.824,6874.218,6842.385,7017.979,6845.195,7113.165,7288.425,7315.105,7197.022,7659.023,7821.035,8053.242,8377.425,8627.744,8809.041
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",361.178,444.245,311.706,493.594,438.637,340.447,640.082,607.84,622.702,658.693,617.46,694.615,784.78,889.63,771.483,924.152,753.586,600.567,942.463,748.105,630.672
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",40.186,50.726,55.042,45.901,37.927,35.067,28.331,40.996,44.873,43.879,50.936,47.698,47.743,46.804,82.482,49.495,51.867,54.447,53.014,57.122,60.284
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,55551.38100000001,56059.927,61210.129,66418.267,68987.33,69057.443,67688.208,69645.73999999999,69751.77100000001,73354.43500000001,68939.139,72962.053,76389.637,83653.87299999999,90384.916,92331.66500000001,94234.99600000001,83737.47099999999,89268.818,89955.354,95345.773
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,2539.163,2307.328,2382.652,2596.147,2797.411,2526.719,2465.829,2821.744,2478.661,2824.107,2965.366,3070.524,3326.831,3247.928,3495.185,3430.827,3362.085,4325.771,4116.072,4273.097,4475.914
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2539.163,2307.328,2382.652,2596.147,2797.411,2526.719,2465.829,2821.744,2478.661,2824.107,2965.366,3070.524,3326.831,3247.928,3495.185,3430.827,3362.085,4325.771,4116.072,4273.097,4475.914
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",6428.009,7125.802,7668.46,8727.164,8538.387,8978.609,10388.316,9518.813,8152.204,9148.417,9161.532,8601.494,9028.24,9335.285,9541.703,8680.257,8874.439,7467.02,6649.087,7723.73,7701.911
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,21402.419,20337.071,24184.655,26698.361,28942.726,28797.691,26327.91,28261.601,29145.676,31377.762,27546.248,30139.845,30076.164,32032.673,35390.185,36550.757,36440.303,27888.986,31486.735,31733.458,38816.491
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,25181.790000000005,26289.726000000002,26974.361999999997,28396.594999999998,28708.806,28754.424000000003,28506.152999999995,29043.581999999995,29975.230000000003,30004.14900000001,29265.993,31150.19,33958.402,39037.986999999994,41957.843,43669.82400000001,45558.169,44055.693999999996,47016.924000000006,46225.06900000001,44351.456999999995
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,10453.631,11527.154,11994.104,13018.232,13454.169,13809.061,14460.864,14555.109,15417,14981.351,15455.285,16546.339,19580.559,24176.404,26436.783,27155.212,29280.078,30311.164,31735.773,30363.634,28213.582
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1348.761,1350.188,1305.031,1345.262,1375.758,1417.393,1436.364,1617.018,1697.399,1666.28,1523.928,1641.888,1791.563,1745.035,2450.681,3803.221,3746.816,3065.904,3518.179,3902.794,3780.054
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",1303.011,1211.479,1314.098,1453.183,1324.651,1153.855,1013.163,1054.557,1014.723,828.5999999999999,535.7900000000001,516.2909999999999,549.1229999999999,566.244,547.412,557.967,530.598,439.884,502.012,536.881,543.697
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",4178.049999999999,4076.844,4204.4839999999995,4016.316,3703.777,3480.494,3634.5,3545.4030000000002,3091.123,3151.385,3290.199,3570.906,3335.7250000000004,3548.125,3453.6079999999997,3750.328,3639.114,2803.104,2918.381,2310.221,2522.643
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,126.328,134.053,133.65,161.07,164.552,171.323,174.617,196.714,210.02,261.498,292.354,278.342,273.886,296.869,333.733,358.263,303.433,245.304,254.584,257.874,238.446
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,1076.369,1072.258,1090.069,1142.925,1146.954,1190.434,427.371,432.563,380.683,362.382,336.796,335.893,337.053,350.81,367.57399999999996,410.618,437.451,434.76,501.049,594.796,571.444
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,2246.955,2516.62,2490.176,2474.621,2577.241,2561.142,2465.146,2525.334,2983.7650000000003,3254.358,3032.904,3144.9489999999996,2663.641,2527.241,2600.83,2397.366,2346.202,2119.558,2355.294,2456.701,2387.67
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,524.383,526.591,564.711,680.345,701.941,846.263,816.264,863.642,780.047,789.54,707.517,743.173,780.864,864.022,924.652,857.858,791.502,754.124,815.881,839.622,876.003
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,406.628,454.415,463.621,517.01,518.195,534.08,591.173,634.251,708.15,840.2030000000001,652.65,694.5360000000001,730.506,746.5830000000001,720.875,675.43,621.273,541.367,588.327,584.163,686.085
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",1589.3880000000001,1470.656,1350.2079999999999,1541.538,1557.5620000000001,1543.647,1632.423,1931.39,1874.714,1952.15,1807.3890000000001,2013.219,2195.014,2357.9,2260.162,1820.9699999999998,2104.798,1841.475,2004.324,2581.358,2915.394
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",604.769,640.747,688.345,729.882,828.848,784.647,651.693,636.717,728.515,678.592,463.18,435.688,474.674,485.258,482.659,495.825,506.423,493.745,501.242,470.591,392.951
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,1323.517,1308.721,1375.865,1316.211,1355.158,1262.085,1202.575,1050.884,1089.091,1237.81,1168.001,1228.966,1245.794,1373.496,1378.874,1386.766,1250.481,1005.305,1321.878,1326.434,1223.488
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias<C1>,160645.353,168001.78499999995,174087.752,179903.444,183666.38600000006,187503.30600000004,182458.411,190356.60700000002,196142.32299999997,202956.42799999999,210990.01499999998,216409.18999999997,221530.36400000003,227671.11000000004,233501.34700000007,244470.63700000005,243288.83400000003,223697.30999999997,240451.82499999998,248960.48899999994,262740.81000000006
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|43---Comercio al por mayor<C1>,31510.771,33412.203,34739.786,37184.615,37787.773,37731.724,36127.173,38691.135,40326.711,41717.425,43055.822,46404.16,48418.854,49114.112,49816.216,52423.886,50503.523,45894.995,50294.459,52037.579,53875.817
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|46---Comercio al por menor<C1>,31684.742,32962.003,34676.664,35724.314,35937.467,35500.954,34311.215,36922.111,38182.014,40171.58,44444.725,44553.057,44183.218,45043.808,45846.364,49518.651,49111.088,43187.692,49834.242,51113.469,55072.195
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",11566.218,12161.392,12455.517,13081.781,13707.177,13755.369,12576.672,13382.711,13552.671,13830.148,13901.89,14611.378,15005.972,15380.89,15774.977,16709.132,17112.718,13632.673,15831.577,18158.234,19021.709
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|51---Información en medios masivos<C1>,897.398,965.061,1082.442,1301.169,1610.077,1733.327,1804.301,1874.406,1989.543,2484.052,2611.569,2723.757,3310.306,3985.043,4275.832,4736.783,4925.876,4321.165,4439.374,4862.498,5245.498
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|52---Servicios financieros y de seguros<C1>,2553.254,3149.76,2920.1,3438.139,3909.713,4357.583,4675.846,5269.427,5372.951,5787.575,6654.725,6897.426,7405.223,8323.631,9274.856,9590.057,10336.6,10159.169,10248.556,11370.069,12775.592
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,24596.428,25814.479,26469.048,27718.78,28732.092,29761.459,29591.832,30179.521,31066.112,31754.775,32127.759,32803.702,33596.042,34343.559,34868.499,35561.088,36727.076,37441.808,38774.081,39431.909,40775.263
