Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,142477.00400000002,146477.354,150277.013,159901.09799999997,165494.33200000002,172265.574,180057.63999999998,197186.988,197227.21200000003,201298.32,196163.85499999998,211201.49800000002,214605.46600000001,216654.627,220568.03699999998,228388.21300000005,219746.547,210643.065,221592.28099999996,225013.349,228860.43
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",13109.432,13837.105,15714.527,16780.838,17084.646,18586.533,17628.941,18989.271,16359.04,16347.084,14031.559,16731.256,17954.238,17844.067,17850.389,20178.689,19266.253,17274.896,18369.876,18641.123,17722.727
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,129367.57200000001,132640.24899999998,134562.486,143120.25999999998,148409.68600000002,153679.041,162428.699,178197.717,180868.17200000002,184951.236,182132.29599999997,194470.24200000003,196651.228,198810.56,202717.648,208209.52400000003,200480.294,193368.169,203222.40499999997,206372.226,211137.703
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,15072.756,12683.216,10557.923999999999,14727.073999999999,13177.078000000001,13769.931,13701.382000000001,14428.468,11891.001,14877.208,18661.98,18088.483,18020.97,18026.308,17765.235,18297.006,16347.696,19287.829,19601.071,18352.652000000002,16300.146
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",15072.756,12683.216,10557.923999999999,14727.073999999999,13177.078000000001,13769.931,13701.382000000001,14428.468,11891.001,14877.208,18661.98,18088.483,18020.97,18026.308,17765.235,18297.006,16347.696,19287.829,19601.071,18352.652000000002,16300.146
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",11551.268,8917.025,6939.787,10818.766,9495.171,10047.575,10065.635,10550.922,7748.556,11073.967,14884.998,14156.445,14115.773,14054.606,13753.67,14355.158,12579.847,15376.504,15649.513,14397.321,12316.506
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",3274.16,3553.749,3446.034,3524.463,3390.032,3471.743,3412.252,3607.429,3958.924,3576.663,3483.96,3661.199,3658.802,3627.254,3519.71,3543.125,3410.624,3458.038,3508.632,3526.867,3577.314
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",247.328,212.442,172.103,383.845,291.875,250.613,223.495,270.117,183.521,226.578,293.022,270.839,246.395,344.448,491.855,398.723,357.225,453.287,442.926,428.464,406.326
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,32033.244000000006,36141.211,37579.350000000006,38788.804000000004,42871.557,46352.319,57606.873999999996,68630.177,70533.101,69510.829,61546.452999999994,72443.58,71868.18100000001,72406.93299999999,73696.23,77875.95700000001,70870.198,67234.364,72848.852,76875.658,81574.16
